Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7807,4858,Lao PDR, H013401 ,2017-04-18,2017,4,18,29.3,7.54,90.0,23.3,1.32794411177645,0.6790123456790124,0.29,0.0282051282051282,1.245493280891511,0.4919605077574048,0.5142619196335624,0.38,0.04,0.01,7.72,1.76
7830,4859,Lao PDR, H013401 ,2017-05-15,2017,5,15,28.9,6.64,95.0,7.6,0.611,0.1662551440329218,0.03,0.02,0.60445099967223,0.060758815232722,0.08754736622944,0.36,0.01,0.07,5.9,2.26
7916,4860,Lao PDR, H013401 ,2017-08-18,2017,8,18,28.6,6.72,154.5,19.8,1.35279441117764,0.5382716049382716,0.06,0.0406393861892583,1.65375286791216,0.192101551480959,0.297855506974807,0.21,0.02,0.09,6.27,4.12
7939,4861,Lao PDR, H013401 ,2017-09-13,2017,9,13,27.1,6.8,74.66,18.8,1.38139321357285,0.3539094650205761,0.07,0.0259846547314578,1.68880367092756,0.0730888575458392,0.0939183843431189,0.34,0.04,0.04,6.49,2.72
7979,4862,Lao PDR, H013401 ,2017-10-16,2017,10,16,27.6,6.68,143.0,17.2,1.187624750499002,0.3374485596707818,0.08,0.0429667519181585,1.39555227794166,0.2126939351198871,0.0893191755153029,0.25,0.01,0.09,6.47,3.76
8071,4909,Lao PDR, H013401 ,2018-04-16,2018,4,16,27.7,7.96,35.25,17.0,1.25,0.403292181069959,0.0608695652173913,0.0282051282051282,1.0881678138315307,0.3015514809590973,0.3060587133041849,0.36,0.01,0.02,7.03,2.08
8087,4910,Lao PDR, H013401 ,2018-05-17,2018,5,17,27.1,6.98,71.0,18.5,1.12,0.42798353909465,0.14,0.09,0.9078990494919698,0.5043723554301833,0.4351447012283989,0.11,0.018,0.04,6.68,1.52
8098,4911,Lao PDR, H013401 ,2018-06-20,2018,6,20,26.7,7.54,190.5,17.0,1.0,0.4279835390946502,0.226086956521739,0.023076923076923,1.0668633235004914,0.4944992947813822,0.168873620653758,0.22,0.013,0.04,5.98,4.24
8101,4912,Lao PDR, H013401 ,2018-07-14,2018,7,14,26.1,6.63,100.3,11.1,0.801,0.19798353909465,0.1217391304347826,0.0358056265984654,0.688298918387414,0.3060648801128349,0.0608994378513429,0.12,0.02,0.1,6.93,2.32
8124,4913,Lao PDR, H013401 ,2018-08-16,2018,8,16,25.8,7.14,159.5,14.5,0.93,0.32798353909465,0.1343478260869565,0.0404092071611253,0.9668960996394624,0.264033850493653,0.0917551530293566,0.16,0.019,0.18,7.71,4.96
8146,4914,Lao PDR, H013401 ,2018-09-18,2018,9,18,28.0,7.348,129.0,16.89,1.05,0.4279835390946502,0.1539130434782608,0.0659846547314578,1.163552933464438,0.2485190409026798,0.3014782427649385,0.25,0.01,0.09,6.32,2.64
8158,4915,Lao PDR, H013401 ,2018-10-18,2018,10,18,28.6,7.543,119.5,22.1,1.7740648379052368,0.29075,0.1747826086956521,0.0429667519181585,1.7699115044247786,0.1399153737658674,0.2058296897772225,0.25,0.023,0.1,7.28,2.72
8205,4949,Lao PDR, H013401 ,2019-04-22,2019,4,22,31.0,7.661,19.6,27.7,1.45,0.6864197530864197,0.375,0.02882,1.54703375942314,0.5359661495063469,0.5954611701020196,0.36,0.01,0.03,7.25,1.17
8221,4950,Lao PDR, H013401 ,2019-06-18,2019,6,18,30.4,7.263,58.1,11.17,0.802,0.1662551440329218,0.08,0.023076923076923,0.6719108489019993,0.1184767277856135,0.3372891942535915,0.43,0.058,0.05,6.15,4.19
8266,4951,Lao PDR, H013401 ,2019-09-18,2019,9,18,28.1,7.167,95.0,19.19,1.388,0.3522633744855967,0.0712,0.03598,1.433956079973779,0.2222849083215796,0.2023735165521549,0.37,0.018,0.03,6.02,2.54
8355,4992,Lao PDR, H013401 ,2020-08-20,2020,8,20,23.09,6.83,90.6,23.7,1.4850299401197606,0.4683127572016461,0.2234782608695652,0.0884910485933503,1.2246804326450345,0.4307475317348377,0.6067457838850718,0.055,0.039,0.01,5.23,3.6
8372,4993,Lao PDR, H013401 ,2020-09-24,2020,9,24,31.2,7.61,115.66,15.8,0.8132800798801797,0.4674897119341563,0.1708695652173913,0.0552429667519181,1.0966896099639465,0.3588152327221438,0.1632313137622319,0.059,0.026,0.07,6.01,2.8
8382,4994,Lao PDR, H013401 ,2020-10-28,2020,10,28,27.79,7.32,87.6,24.4,1.5538922155688624,0.6551440329218107,0.2343478260869565,0.0606138107416879,1.4457554900032774,0.5520451339915373,0.3422860712054966,0.077,0.05,0.06,6.86,2.7
