Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
1363,115,Cambodia,H640110,1995-09-20,1995,9,20,28.1,7.08,145.0,5.2,0.199,0.098,0.22,0.04,0.426,0.051,0.039,0.061,0.02,0.04,5.91,3.9
1425,116,Cambodia,H640110,1995-11-21,1995,11,21,28.4,7.17,78.0,8.1,0.294,0.163,0.36,0.06,0.658,0.113,0.026,0.069,0.04,0.05,7.4,2.4
1445,117,Cambodia,H640110,1995-12-20,1995,12,20,28.6,7.73,48.0,8.3,0.336,0.178,0.42,0.05,0.788,0.139,0.038,0.103,0.06,0.03,7.2,2.0
1471,208,Cambodia,H640110,1996-01-18,1996,1,18,27.6,7.6,62.0,10.4,0.351,0.196,0.5,0.06,0.884,0.155,0.048,0.139,0.008,0.04,7.15,1.9
1502,209,Cambodia,H640110,1996-02-22,1996,2,22,26.2,7.69,40.0,12.2,0.294,0.251,0.48,0.08,0.91,0.209,0.046,0.114,0.12,0.06,7.17,2.2
1507,210,Cambodia,H640110,1996-03-14,1996,3,14,28.6,7.31,194.0,13.3,0.299,0.227,0.7,0.08,0.983,0.259,0.069,0.189,0.04,0.07,6.56,1.7
1637,211,Cambodia,H640110,1996-08-14,1996,8,14,28.0,7.02,176.0,6.0,0.217,0.129,0.3,0.05,0.59,0.083,0.072,0.254,0.11,0.05,6.98,5.0
1704,212,Cambodia,H640110,1996-11-20,1996,11,20,26.8,7.35,176.0,7.6,0.301,0.314,0.31,0.04,0.667,0.095,0.021,0.08,0.11,0.04,6.8,5.1
1723,213,Cambodia,H640110,1996-12-19,1996,12,19,26.3,7.39,196.0,7.9,0.274,0.146,0.35,0.05,0.666,0.104,0.025,0.069,0.06,0.03,7.55,3.0
1740,308,Cambodia,H640110,1997-01-20,1997,1,20,27.8,7.43,104.2,9.2,0.316,0.196,0.41,0.05,0.744,0.128,0.032,0.03,0.07,0.02,7.46,2.4
1768,309,Cambodia,H640110,1997-02-18,1997,2,18,29.6,6.81,33.0,9.3,0.315,0.18,0.44,0.06,0.769,0.142,0.023,0.01,0.07,0.03,7.11,5.8
1790,310,Cambodia,H640110,1997-03-18,1997,3,18,30.2,6.7,74.0,9.9,0.275,0.184,0.5,0.06,0.754,0.176,0.036,0.19,0.06,0.04,6.86,3.9
1807,311,Cambodia,H640110,1997-04-22,1997,4,22,30.0,7.22,74.0,10.4,0.256,0.222,0.52,0.06,0.8,0.171,0.04,0.04,0.04,0.05,6.89,2.5
1821,312,Cambodia,H640110,1997-05-19,1997,5,19,32.2,7.66,90.0,10.9,0.248,0.243,0.54,0.06,0.73,0.261,0.037,0.1,0.03,0.05,7.12,2.4
1829,313,Cambodia,H640110,1997-06-16,1997,6,16,32.2,7.44,160.0,9.1,0.284,0.207,0.49,0.08,0.655,0.198,0.139,0.15,0.03,0.05,7.29,5.0
1895,314,Cambodia,H640110,1997-10-13,1997,10,13,30.6,7.2,185.0,7.4,0.267,0.168,0.2,0.08,0.637,0.085,0.072,0.18,0.04,0.09,7.04,3.7
1929,315,Cambodia,H640110,1997-11-19,1997,11,19,30.7,7.3,139.0,7.2,0.305,0.165,0.4,0.05,0.651,0.094,0.106,0.05,0.07,0.03,7.25,3.4
1952,316,Cambodia,H640110,1997-12-26,1997,12,26,27.0,7.24,46.0,10.4,0.432,0.267,0.41,0.05,0.874,0.143,0.083,0.04,0.03,0.03,6.73,3.1
1964,354,Cambodia,H640110,1998-01-22,1998,1,22,27.4,7.12,54.0,10.9,0.352,0.272,0.5,0.05,0.942,0.155,0.062,0.19,0.02,0.03,6.92,2.1
1977,355,Cambodia,H640110,1998-02-17,1998,2,17,27.4,7.06,101.0,11.7,0.31,0.408,0.47,0.06,0.951,0.106,0.21,0.22,0.06,0.04,4.64,4.0
2003,356,Cambodia,H640110,1998-04-28,1998,4,28,32.2,7.46,47.0,12.2,0.26,0.224,0.7,0.1,0.915,0.226,0.102,0.35,0.009,0.13,8.14,3.8
2017,357,Cambodia,H640110,1998-05-26,1998,5,26,30.0,6.64,108.0,13.4,0.209,0.388,0.61,0.13,0.87,0.205,0.211,0.19,0.03,0.18,5.59,8.5
2187,383,Cambodia,H640110,1999-09-20,1999,9,20,31.2,7.33,102.0,7.42,0.249,0.188,0.355,0.04,0.626,0.073,0.03,0.007,0.07,0.03,6.895,4.269
2195,384,Cambodia,H640110,1999-10-05,1999,10,5,30.2,6.92,111.0,7.01,0.257,0.165,0.285,0.05,0.578,0.063,0.018,0.085,0.04,0.04,7.85,3.595
2236,385,Cambodia,H640110,1999-11-12,1999,11,12,26.4,6.66,118.0,7.88,0.307,0.18,0.29,0.03,0.668,0.079,0.034,0.24,0.1,0.04,3.92,2.12
2282,488,Cambodia,H640110,2000-01-27,2000,1,27,30.5,7.23,74.0,9.1,0.291,0.213,0.49,0.08,0.568,0.138,0.055,0.111,0.07,0.06,6.62,3.337
2296,489,Cambodia,H640110,2000-02-23,2000,2,23,29.4,6.05,5.5,9.9,0.538,0.21,0.48,0.06,0.796,0.139,0.071,0.162,0.019,0.05,5.55,2.6
2308,490,Cambodia,H640110,2000-03-12,2000,3,12,29.2,6.86,43.0,9.8,0.294,0.236,0.53,0.07,0.584,0.102,0.09,0.072,0.061,0.05,5.64,3.4
