MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H230103,2014-07-25,2014,7,25,28.9,7.11,15.0,12.7,1.2,0.18,0.09,0.02,1.13,0.11,0.13,0.27,0.02,0.15,3.09,4.8
Lao PDR,H230103,2007-11-13,2007,11,13,26.7,7.06,33.0,13.8,0.799,0.308,0.25,0.017,1.062,0.207,0.076,0.103,0.016,0.012,6.78,1.983
Lao PDR,H230103,2005-06-16,2005,6,16,28.9,7.3,39.0,11.0,0.605,0.201,0.2,0.076,0.684,0.282,0.075,0.226,0.042,0.037,5.36,1.498
Lao PDR,H230103,2005-09-14,2005,9,14,26.8,7.06,48.0,7.44,0.425,0.145,0.12,0.026,0.64,0.018,0.092,0.201,0.032,0.022,6.38,1.07
Lao PDR,H230103,2004-12-16,2004,12,16,23.6,7.45,8.0,12.4,0.885,0.25,0.049,0.002,1.009,0.07,0.15,0.033,0.017,0.003,8.05,0.337
Lao PDR,H230103,2007-10-15,2007,10,15,28.2,6.33,27.0,9.39,0.496,0.226,0.155,0.02,0.702,0.125,0.062,0.113,0.018,0.025,5.8,1.487
Lao PDR,H230103,2010-06-15,2010,6,15,30.9,6.56,25.0,11.2,0.619,0.203,0.169,0.024,0.768,0.133,0.137,0.121,0.042,0.022,5.33,2.45
Lao PDR,H230103,2008-01-14,2008,1,14,25.9,7.44,22.0,11.45,0.741,0.187,0.041,0.11,0.972,0.056,0.087,0.04,0.008,0.015,6.95,0.793
Lao PDR,H230103,2006-07-17,2006,7,17,29.3,7.18,6.0,10.89,0.716,0.235,0.145,0.042,0.97,0.133,0.122,0.081,0.024,0.023,5.15,1.443
Lao PDR,H230103,2005-01-18,2005,1,18,22.87,7.61,15.0,10.5,0.729,0.219,0.036,0.015,0.882,0.057,0.098,0.056,0.014,0.017,7.689,3.852
Lao PDR,H230103,2014-09-23,2014,9,23,27.4,6.76,17.0,20.1,0.25,0.21,0.27,0.02,0.44,0.05,0.23,0.18,0.01,0.02,4.15,3.8
Lao PDR,H230103,2014-08-19,2014,8,19,29.2,7.26,6.0,13.6,0.76,0.16,0.05,0.13,1.04,0.01,0.15,0.34,0.01,0.12,3.46,2.1
Lao PDR,H230103,2006-01-18,2006,1,18,23.5,6.5,8.0,11.45,0.58,0.36,0.211,0.018,0.952,0.156,0.043,0.054,0.04,0.019,7.6,0.4
Lao PDR,H230103,2007-12-19,2007,12,19,27.2,7.15,19.0,13.5,0.65,0.424,0.22,0.02,1.119,0.187,0.086,0.04,0.017,0.022,6.92,1.586
Lao PDR,H230103,2008-04-22,2008,4,22,28.9,7.4,9.0,12.5,0.832,0.252,0.112,0.017,0.916,0.117,0.206,0.071,0.036,0.011,6.47,3.313
Lao PDR,H230103,2009-02-18,2009,2,18,25.4,6.85,31.0,10.98,0.73,0.199,0.18,0.022,0.946,0.045,0.108,0.004,0.027,0.022,6.99,0.686
Lao PDR,H230103,2006-08-15,2006,8,15,28.6,6.9,16.0,10.7,0.759,0.215,0.146,0.023,0.948,0.158,0.046,0.155,0.018,0.015,5.71,1.536
Lao PDR,H230103,2008-12-16,2008,12,16,24.4,7.18,38.0,12.57,0.724,0.258,0.288,0.02,1.02,0.089,0.086,0.04,0.019,0.01,7.24,0.638
Lao PDR,H230103,2006-06-16,2006,6,16,29.8,6.1,6.0,11.1,0.721,0.254,0.168,0.02,0.882,0.126,0.139,0.067,0.019,0.012,6.04,1.198
Lao PDR,H230103,2007-07-16,2007,7,16,12.43,7.13,23.0,12.5,0.796,0.247,0.188,0.022,1.045,0.076,0.172,0.106,0.042,0.019,6.425,1.407
Lao PDR,H230103,2006-05-18,2006,5,18,28.3,7.6,12.0,10.6,0.635,0.313,0.125,0.018,0.624,0.245,0.128,0.049,0.021,0.013,6.5,0.19
Lao PDR,H230103,2011-06-14,2011,6,14,28.4,7.22,14.0,13.98,0.82,0.331,0.164,0.03,0.971,0.127,0.257,0.132,0.018,0.021,4.97,1.501
Lao PDR,H230103,2007-08-20,2007,8,20,28.5,6.97,69.0,11.2,0.719,0.246,0.149,0.017,0.928,0.03,0.126,0.16,0.035,0.024,5.78,2.716
Lao PDR,H230103,2015-02-12,2015,2,12,28.0,7.35,17.0,12.4,1.0,0.296,0.1,0.01,1.18,0.068,0.11,0.01,0.01,0.06,6.08,3.4
Lao PDR,H230103,2008-02-13,2008,2,13,21.6,7.23,13.0,10.5,0.702,0.205,0.084,0.02,0.765,0.082,0.169,0.059,0.025,0.018,7.59,1.388
Lao PDR,H230103,2005-07-16,2005,7,16,28.3,6.5,62.0,9.28,0.521,0.189,0.128,0.034,0.753,0.059,0.05,0.216,0.074,0.036,5.76,2.576
Lao PDR,H230103,2008-06-17,2008,6,17,26.3,6.31,74.0,9.39,0.612,0.223,0.122,0.023,0.839,0.06,0.089,0.139,0.024,0.032,5.48,2.493
Lao PDR,H230103,2011-10-18,2011,10,18,26.7,6.92,42.0,9.0,0.544,0.203,0.148,0.021,0.741,0.097,0.106,0.099,0.036,0.099,5.52,0.94
Lao PDR,H230103,2005-10-17,2005,10,17,27.8,7.27,48.0,10.9,0.646,0.242,0.124,0.028,0.81,0.225,0.051,0.189,0.042,0.022,6.1,0.594
Lao PDR,H230103,2010-02-16,2010,2,16,26.6,7.47,12.0,12.5,0.725,0.239,0.195,0.019,0.972,0.178,0.065,0.064,0.016,0.025,6.82,0.999
Lao PDR,H230103,2004-09-17,2004,9,17,25.85,7.51,9.0,10.0,0.72,0.218,0.038,0.002,0.8,0.003,0.18,0.068,0.015,0.004,8.82,0.989
Lao PDR,H230103,2006-12-14,2006,12,14,26.4,7.2,22.0,13.5,0.805,0.287,0.226,0.018,1.104,0.129,0.135,0.335,0.03,0.011,7.2,1.2
Lao PDR,H230103,2009-04-21,2009,4,21,29.0,7.61,14.0,12.27,0.804,0.16,0.16,0.012,0.938,0.069,0.135,0.008,0.013,0.019,6.41,1.035
Lao PDR,H230103,2006-02-15,2006,2,15,25.4,7.0,8.0,10.5,0.525,0.318,0.154,0.029,0.762,0.164,0.111,0.046,0.016,0.016,7.7,0.9
Lao PDR,H230103,2011-08-16,2011,8,16,27.3,7.12,34.0,9.21,0.61,0.214,0.108,0.024,0.778,0.067,0.156,0.072,0.011,0.094,5.37,0.912
Lao PDR,H230103,2014-05-21,2014,5,21,28.9,7.42,2.7,15.2,1.27,0.29,0.07,0.03,1.2,0.31,0.05,0.12,0.01,0.01,4.28,0.77
Lao PDR,H230103,2004-07-12,2004,7,12,25.0,7.28,10.0,11.6,0.619,0.489,0.028,0.004,0.9,0.042,0.185,0.238,0.021,0.029,5.6,0.784
Lao PDR,H230103,2014-06-19,2014,6,19,27.6,7.18,71.0,16.7,1.07,0.21,0.03,0.023,0.95,0.1,0.19,0.12,0.05,0.01,5.12,1.4
Lao PDR,H230103,2004-11-15,2004,11,15,27.5,7.77,7.0,13.6,1.061,0.204,0.045,0.002,1.001,0.071,0.222,0.026,0.01,0.007,7.09,0.249
Lao PDR,H230103,2005-03-18,2005,3,18,25.2,7.4,10.0,10.1,0.647,0.21,0.115,0.029,0.785,0.047,0.16,0.091,0.014,0.023,7.57,0.056
Lao PDR,H230103,2015-09-15,2015,9,15,27.9,6.9,31.0,9.0,0.58,0.207,0.045,0.009,0.74,0.09,0.042,0.01,0.01,0.15,5.14,1.2
Lao PDR,H230103,2012-10-15,2012,10,15,29.1,7.28,9.0,12.06,0.822,0.189,0.12,0.065,0.877,0.17,0.047,0.108,0.084,0.015,6.03,0.583
Lao PDR,H230103,2007-05-21,2007,5,21,28.0,7.08,10.0,13.3,0.839,0.294,0.193,0.005,1.077,0.119,0.117,0.353,0.09,0.01,6.427,1.13
Lao PDR,H230103,2013-04-19,2013,4,19,23.5,6.77,6.7,11.4,0.8,0.26,0.041,0.016,0.91,0.01,0.2,0.03,0.01,0.1,5.13,0.71
Lao PDR,H230103,2005-11-17,2005,11,17,26.8,6.8,60.0,11.8,0.695,0.286,0.139,0.029,0.934,0.116,0.07,0.111,0.035,0.022,6.25,0.356
Lao PDR,H230103,2007-06-18,2007,6,18,29.5,6.83,50.0,12.5,0.806,0.236,0.214,0.004,1.017,0.103,0.148,0.125,0.036,0.018,6.075,1.331
Lao PDR,H230103,2008-03-17,2008,3,17,29.4,7.41,7.0,11.4,0.776,0.228,0.146,0.015,0.955,0.054,0.072,0.122,0.01,0.01,6.81,0.897
Lao PDR,H230103,2015-12-17,2015,12,17,25.4,6.74,15.3,11.3,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.06,0.01,0.01,6.07,0.88
Lao PDR,H230103,2007-09-25,2007,9,25,27.6,6.46,12.0,10.8,0.645,0.248,0.185,0.022,0.732,0.126,0.176,0.142,0.022,0.02,5.85,1.487
Lao PDR,H230103,2009-06-16,2009,6,16,30.1,6.84,11.0,11.6,0.817,0.16,0.12,0.015,0.981,0.101,0.101,0.078,0.049,0.018,5.6,0.98
Lao PDR,H230103,2006-04-16,2006,4,16,28.5,7.4,9.0,10.4,0.523,0.234,0.14,0.019,0.675,0.221,0.077,0.077,0.013,0.019,8.8,0.629
Lao PDR,H230103,2010-10-19,2010,10,19,28.8,7.16,44.0,10.82,0.551,0.252,0.26,0.02,0.806,0.256,0.04,0.125,0.029,0.02,5.69,1.274
Lao PDR,H230103,2004-10-21,2004,10,21,27.1,7.3,6.0,12.62,0.864,0.289,0.058,0.003,1.032,0.024,0.156,0.14,0.016,0.004,6.73,1.07
Lao PDR,H230103,2006-09-19,2006,9,19,27.5,6.5,42.0,11.54,0.745,0.191,0.219,0.015,0.786,0.178,0.188,0.114,0.023,0.029,6.2,3.01
Lao PDR,H230103,2007-04-23,2007,4,23,30.9,7.31,11.0,11.85,0.632,0.312,0.135,0.009,0.971,0.052,0.084,0.031,0.026,0.02,4.821,0.877
Lao PDR,H230103,2007-01-15,2007,1,15,20.1,6.9,20.0,12.18,0.855,0.218,0.182,0.005,1.104,0.026,0.085,0.078,0.016,0.013,7.97,1.068
Lao PDR,H230103,2006-11-17,2006,11,17,27.1,6.5,40.0,14.26,0.831,0.3,0.28,0.015,1.019,0.155,0.243,0.114,0.029,0.011,7.6,0.7
Lao PDR,H230103,2006-10-16,2006,10,16,27.8,7.2,44.0,9.18,0.504,0.237,0.172,0.022,0.642,0.113,0.176,0.087,0.015,0.018,6.8,1.34
Lao PDR,H230103,2010-08-17,2010,8,17,27.6,6.89,10.0,8.64,0.485,0.228,0.112,0.023,0.722,0.081,0.123,0.11,0.101,0.026,5.63,2.744
Lao PDR,H230103,2008-10-20,2008,10,20,28.7,6.67,17.0,11.63,0.695,0.277,0.186,0.01,0.892,0.154,0.1,0.118,0.036,0.011,5.65,1.382
Lao PDR,H230103,2008-11-18,2008,11,18,27.0,7.35,16.0,12.54,0.83,0.169,0.211,0.016,1.003,0.075,0.089,0.095,0.035,0.013,6.18,1.185
Lao PDR,H230103,2011-04-19,2011,4,19,27.2,7.76,8.0,12.7,0.723,0.219,0.2,0.077,0.902,0.19,0.101,0.07,0.028,0.014,7.59,0.94
Lao PDR,H230103,2006-03-16,2006,3,16,25.8,6.7,6.0,10.4,0.615,0.278,0.142,0.037,0.711,0.26,0.096,0.041,0.045,0.017,6.1,0.893
Lao PDR,H230103,2014-10-21,2014,10,21,28.8,7.46,10.0,11.2,0.37,0.23,0.03,0.17,0.49,0.12,0.15,0.1,0.01,0.07,3.48,2.1
