Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7802,4855,Lao PDR, H011901 ,2017-04-16,2017,4,16,28.1,7.93,88.0,26.1,1.2874251497005988,0.6534979423868313,0.43,0.056,1.5753851196329072,0.2925246826516219,0.6870705808869456,0.4,0.01,0.05,7.5,1.2
7859,4856,Lao PDR, H011901 ,2017-06-15,2017,6,15,28.9,7.8,124.0,27.3,1.57584830339321,0.5786008230452675,0.17,0.156,1.4421501147164864,0.3988716502115655,0.6974807412034145,0.41,0.01,0.09,6.35,3.56
7940,4857,Lao PDR, H011901 ,2017-09-14,2017,9,14,28.7,7.44,184.5,20.0,1.36698602794411,0.4049382716049382,0.09,0.058312020460358,1.39355293346444,0.189605077574048,0.321894649177597,0.4,0.01,0.02,7.86,3.68
8095,4906,Lao PDR, H011901 ,2018-06-19,2018,6,19,29.4,7.91,124.5,27.3,1.74887780548628,0.396378600823045,0.3991304347826087,0.068542199488491,1.902654867256637,0.2778561354019745,0.4711638559233811,0.34,0.021,0.05,7.33,3.2
8100,4907,Lao PDR, H011901 ,2018-07-12,2018,7,12,30.1,7.7,131.0,22.2,1.39102244389027,0.4419753086419753,0.3039130434782608,0.0501278772378516,1.5896427400852178,0.1655853314527503,0.3872579637726421,0.39,0.018,0.01,7.43,1.47
8162,4908,Lao PDR, H011901 ,2018-10-18,2018,10,18,28.2,7.6,198.0,18.0,0.97,0.37,0.35,0.07,1.3831530645689938,0.1241184767277856,0.2737872163231313,0.49,0.013,0.02,6.41,4.56
8196,4946,Lao PDR, H011901 ,2019-04-19,2019,4,19,26.8,7.8,20.7,23.3,1.2874251497005988,0.6534979423868313,0.43,0.056,1.38,0.48,0.5,0.22,0.01,0.045,8.01,1.02
8240,4947,Lao PDR, H011901 ,2019-08-13,2019,8,13,28.3,7.86,42.0,19.6,1.38,0.3720164609053497,0.2,0.0562659846547314,1.1274991805965255,0.1636107193229901,0.6058713304184885,0.56,0.05,0.078,7.11,3.74
8267,4948,Lao PDR, H011901 ,2019-09-18,2019,9,18,28.6,7.02,42.8,19.8,1.31,0.4016460905349794,0.12,0.051,1.27826941986234,0.2186177715091678,0.3997501561524047,0.19,0.01,0.04,6.98,1.91
8339,4990,Lao PDR, H011901 ,2020-08-10,2020,8,10,27.6,7.0,152.7,25.5,1.378243512974052,0.6633744855967079,0.5265217391304348,0.0989769820971867,1.3654539495247455,0.5359661495063469,0.5937955444513845,0.055,0.032,0.05,7.18,3.4
8375,4991,Lao PDR, H011901 ,2020-10-16,2020,10,16,28.0,7.03,51.33,17.1,0.8997005988023953,0.4625514403292181,0.228695652173913,0.047314578005115,1.1781383153064569,0.1794076163610719,0.3780970226941494,0.074,0.026,0.01,6.0,9.3
