Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
73,2644,Lao PDR,H100101,1986-02-16,1986,2,16,22.2,8.0,2.0,25.6,1.167,0.778,0.531,0.036,2.374,0.05,0.13,0.003,0.012,0.018,8.17,0.6
102,2645,Lao PDR,H100101,1986-04-22,1986,4,22,28.0,7.9,6.0,25.5,1.48,0.385,0.45,0.042,2.056,0.262,0.006,0.008,0.036,0.042,7.82,1.4
276,2681,Lao PDR,H100101,1987-12-15,1987,12,15,19.1,7.14,6.0,23.1,1.44,0.572,0.316,0.02,2.173,0.127,0.175,0.029,0.004,0.014,7.88,0.6
361,2714,Lao PDR,H100101,1988-10-13,1988,10,13,25.1,7.85,132.0,1.9,1.304,0.388,0.21,0.026,1.748,0.067,0.173,0.198,0.029,0.047,6.5,0.1
387,2715,Lao PDR,H100101,1988-11-15,1988,11,15,21.5,8.24,32.0,17.6,1.529,0.485,0.28,0.016,2.138,0.085,0.199,0.045,0.029,0.023,8.32,0.7
423,2767,Lao PDR,H100101,1989-04-21,1989,4,21,26.4,8.03,3.0,22.4,1.574,0.205,0.31,0.026,1.756,0.165,0.219,0.217,0.012,0.028,7.9,1.1
428,2768,Lao PDR,H100101,1989-05-15,1989,5,15,29.2,7.84,6.0,16.8,1.291,0.317,0.355,0.033,1.625,0.176,0.208,0.366,0.036,0.011,6.38,2.2
463,2769,Lao PDR,H100101,1989-10-12,1989,10,12,26.2,7.49,16.0,21.2,1.52,0.261,0.225,0.026,1.678,0.062,0.171,0.179,0.024,0.041,7.4,0.7
472,2770,Lao PDR,H100101,1989-11-13,1989,11,13,25.2,8.0,11.0,21.5,1.579,0.482,0.205,0.026,2.127,0.08,0.254,0.114,0.029,0.04,7.7,0.7
498,2771,Lao PDR,H100101,1989-12-17,1989,12,17,19.0,8.32,2.0,24.2,1.64,0.415,0.37,0.007,1.882,0.048,0.315,0.011,0.03,0.018,7.76,0.5
509,2822,Lao PDR,H100101,1990-01-18,1990,1,18,22.7,7.81,11.0,26.0,1.311,0.797,0.175,0.023,1.64,0.048,0.521,0.104,0.043,0.023,6.81,0.3
561,2823,Lao PDR,H100101,1990-07-16,1990,7,16,25.5,7.25,146.0,16.0,0.947,0.237,0.31,0.02,1.238,0.032,0.272,0.027,0.022,0.048,7.68,1.1
583,2824,Lao PDR,H100101,1990-09-12,1990,9,12,27.2,7.78,180.0,18.3,1.031,0.344,0.31,0.03,1.354,0.074,0.356,0.164,0.056,0.076,8.18,0.2
620,2825,Lao PDR,H100101,1990-11-15,1990,11,15,23.2,8.01,24.0,23.2,1.65,0.412,0.08,0.03,1.713,0.005,0.355,0.064,0.021,0.045,8.69,1.7
636,2826,Lao PDR,H100101,1990-12-19,1990,12,19,22.0,7.68,17.0,25.2,1.621,0.653,0.17,0.02,1.78,0.156,0.347,0.076,0.071,0.029,8.16,0.2
641,2895,Lao PDR,H100101,1991-01-17,1991,1,17,23.0,8.14,9.0,25.1,1.558,0.389,0.34,0.02,1.651,0.165,0.314,0.057,0.057,0.045,8.24,0.3
651,2896,Lao PDR,H100101,1991-02-18,1991,2,18,22.4,8.01,6.0,26.2,1.512,0.378,0.43,0.02,1.695,0.16,0.393,0.007,0.023,0.021,6.99,0.1
661,2897,Lao PDR,H100101,1991-03-15,1991,3,15,24.8,7.69,11.0,27.6,1.492,0.369,0.555,0.112,1.873,0.148,0.492,0.008,0.05,0.017,7.77,2.5
667,2898,Lao PDR,H100101,1991-04-18,1991,4,18,26.8,7.62,10.0,25.8,1.338,0.402,0.476,0.106,1.512,0.241,0.466,0.124,0.03,0.053,7.92,1.1
680,2899,Lao PDR,H100101,1991-05-23,1991,5,23,30.2,7.93,15.0,21.7,1.176,0.347,0.357,0.118,1.65,0.095,0.383,0.315,0.028,0.071,8.26,1.1
687,2900,Lao PDR,H100101,1991-06-14,1991,6,14,27.7,7.75,30.0,23.5,1.227,0.35,0.474,0.1,1.6,0.071,0.523,0.263,0.021,0.08,5.02,1.8
765,2968,Lao PDR,H100101,1992-01-23,1992,1,23,18.0,7.62,6.0,26.8,1.727,0.522,0.325,0.03,2.021,0.212,0.405,0.052,0.022,0.048,9.78,0.6
787,2969,Lao PDR,H100101,1992-03-17,1992,3,17,22.4,7.94,4.0,25.2,1.917,0.479,0.06,0.035,2.368,0.121,0.222,0.004,0.025,0.066,8.45,1.3
806,2970,Lao PDR,H100101,1992-05-18,1992,5,18,26.8,7.68,2.0,25.8,1.656,0.52,0.287,0.025,2.085,0.211,0.235,0.009,0.034,0.038,8.12,1.2
827,2971,Lao PDR,H100101,1992-06-18,1992,6,18,28.8,7.76,16.0,20.5,1.454,0.325,0.226,0.02,1.8,0.132,0.233,0.012,0.044,0.054,7.01,2.4
845,2972,Lao PDR,H100101,1992-08-14,1992,8,14,27.2,7.92,108.0,19.3,1.223,0.305,0.153,0.051,1.385,0.135,0.287,0.32,0.022,0.265,6.86,2.1
848,2973,Lao PDR,H100101,1992-09-13,1992,9,13,27.3,8.62,95.0,16.8,1.118,0.279,0.14,0.056,1.276,0.13,0.254,0.332,0.013,0.079,7.93,2.0
873,2974,Lao PDR,H100101,1992-10-15,1992,10,15,27.0,8.51,81.0,19.9,1.275,0.425,0.17,0.042,1.385,0.167,0.389,0.608,0.021,0.042,7.92,2.7
880,2975,Lao PDR,H100101,1992-11-15,1992,11,15,21.2,8.84,10.0,20.6,1.36,0.442,0.201,0.045,1.703,0.11,0.404,0.245,0.027,0.011,8.13,0.1
893,2976,Lao PDR,H100101,1992-12-15,1992,12,15,20.2,7.76,30.0,24.7,1.425,0.482,0.333,0.035,1.755,0.151,0.176,0.005,0.022,0.011,8.76,0.6
911,3054,Lao PDR,H100101,1993-01-13,1993,1,13,21.0,8.25,5.0,19.1,0.923,0.406,0.363,0.028,1.149,0.19,0.312,0.349,0.023,0.018,8.11,0.7
946,3055,Lao PDR,H100101,1993-03-16,1993,3,16,25.5,8.01,1.0,27.6,1.424,0.714,0.588,0.039,1.98,0.245,0.433,0.057,0.027,0.022,8.33,1.1
974,3056,Lao PDR,H100101,1993-06-15,1993,6,15,25.8,7.39,11.0,20.6,1.663,0.259,0.122,0.051,1.668,0.094,0.355,0.073,0.086,0.036,8.16,1.9
999,3057,Lao PDR,H100101,1993-08-17,1993,8,17,26.0,7.72,73.0,17.8,1.344,0.289,0.177,0.038,1.773,0.012,0.118,0.169,0.02,0.038,6.01,1.7
1021,3058,Lao PDR,H100101,1993-09-16,1993,9,16,26.0,7.83,120.0,18.3,1.356,0.339,0.2,0.038,1.866,0.082,0.144,0.09,0.083,0.085,6.63,3.0
1035,3059,Lao PDR,H100101,1993-10-16,1993,10,16,26.0,7.94,76.0,20.3,1.65,0.24,0.194,0.045,1.8,0.193,0.183,0.109,0.034,0.037,7.94,1.3
1052,3060,Lao PDR,H100101,1993-11-17,1993,11,17,22.0,8.1,20.0,23.0,1.633,0.422,0.212,0.084,2.097,0.081,0.182,0.078,0.033,0.038,8.61,0.6
1058,3061,Lao PDR,H100101,1993-12-14,1993,12,14,21.9,8.05,6.0,25.4,1.596,0.518,0.2,0.088,1.772,0.266,0.354,0.015,0.016,0.028,8.05,0.2
1151,3138,Lao PDR,H100101,1994-10-15,1994,10,15,24.2,8.1,200.0,17.9,1.01,0.311,0.209,0.04,1.397,0.128,0.188,0.1,0.04,0.059,7.35,1.3
1164,3139,Lao PDR,H100101,1994-11-13,1994,11,13,24.0,7.85,112.0,19.6,1.104,0.354,0.244,0.065,1.546,0.1,0.176,0.084,0.033,0.047,7.46,0.8
1184,3140,Lao PDR,H100101,1994-12-13,1994,12,13,20.3,7.9,30.0,20.8,1.248,0.388,0.3,0.088,1.568,0.216,0.254,0.07,0.058,0.061,7.78,1.1
1210,3193,Lao PDR,H100101,1995-02-12,1995,2,12,19.0,7.36,6.0,26.0,1.814,0.454,0.462,0.025,2.246,0.174,0.202,0.019,0.063,0.023,8.25,1.2
1232,3194,Lao PDR,H100101,1995-03-13,1995,3,13,24.5,7.86,3.0,27.0,1.796,0.406,0.489,0.035,2.374,0.27,0.323,0.11,0.022,0.009,8.57,0.5
1248,3195,Lao PDR,H100101,1995-04-09,1995,4,9,28.0,7.58,3.0,26.8,1.764,0.4,0.521,0.04,2.13,0.245,0.257,0.044,0.024,0.011,8.67,1.0
1271,3196,Lao PDR,H100101,1995-05-15,1995,5,15,28.0,7.62,8.0,25.7,1.67,0.395,0.593,0.049,2.028,0.257,0.246,0.119,0.023,0.026,8.72,1.5
1278,3197,Lao PDR,H100101,1995-06-14,1995,6,14,24.2,7.78,49.0,13.8,0.805,0.31,0.147,0.076,1.035,0.048,0.212,0.395,0.014,0.093,5.41,2.5
1306,3198,Lao PDR,H100101,1995-07-16,1995,7,16,27.0,7.95,13.7,19.9,1.139,0.417,0.217,0.019,1.455,0.054,0.198,0.088,0.025,0.036,7.03,0.6
1399,3199,Lao PDR,H100101,1995-11-14,1995,11,14,26.2,8.0,32.0,21.1,1.429,0.476,0.152,0.05,1.717,0.12,0.188,0.138,0.027,0.045,8.4,2.6
1427,3200,Lao PDR,H100101,1995-12-13,1995,12,13,19.9,8.0,21.0,24.8,1.564,0.421,0.16,0.055,2.138,0.183,0.1,0.009,0.015,0.018,9.61,0.4
1521,3288,Lao PDR,H100101,1996-03-20,1996,3,20,25.2,8.34,5.0,25.8,1.543,0.514,0.467,0.031,2.04,0.151,0.193,0.055,0.016,0.01,8.18,1.3
1549,3289,Lao PDR,H100101,1996-04-21,1996,4,21,26.8,8.08,3.0,26.3,1.7,0.566,0.492,0.055,2.058,0.272,0.296,0.078,0.047,0.015,8.43,2.1
1561,3290,Lao PDR,H100101,1996-05-14,1996,5,14,30.0,7.99,16.0,24.5,1.585,0.528,0.467,0.048,1.837,0.284,0.308,0.054,0.013,0.019,8.1,2.2
1582,3291,Lao PDR,H100101,1996-06-13,1996,6,13,29.4,7.75,53.0,20.1,1.528,0.509,0.386,0.044,1.759,0.275,0.3,0.077,0.023,0.04,7.6,1.6
1614,3292,Lao PDR,H100101,1996-07-11,1996,7,11,27.2,7.64,68.0,19.5,1.13,0.422,0.258,0.038,1.311,0.198,0.346,0.061,0.035,0.04,7.8,1.0
1773,3364,Lao PDR,H100101,1997-02-23,1997,2,23,25.6,7.89,18.0,26.3,1.69,0.558,0.482,0.05,2.053,0.268,0.307,0.018,0.025,0.008,7.9,0.9
1802,3365,Lao PDR,H100101,1997-04-11,1997,4,11,25.2,7.79,6.0,25.6,1.483,0.534,0.386,0.04,2.008,0.251,0.285,0.026,0.14,0.044,7.2,1.8
2127,3393,Lao PDR,H100101,1999-06-15,1999,6,15,26.6,7.89,20.0,16.1,1.123,0.341,0.19,0.076,1.403,0.051,0.191,0.288,0.064,0.015,7.73,1.051
2139,3394,Lao PDR,H100101,1999-07-14,1999,7,14,25.6,7.89,41.0,17.7,1.33,0.289,0.213,0.055,1.576,0.064,0.131,0.828,0.021,0.018,8.48,2.3
2153,3395,Lao PDR,H100101,1999-08-15,1999,8,15,25.6,7.54,80.0,14.6,1.095,0.69,0.2,0.056,1.313,0.067,0.134,0.147,0.042,0.055,7.5,3.4
2181,3396,Lao PDR,H100101,1999-09-16,1999,9,16,25.4,7.87,150.0,15.9,1.214,0.543,0.188,0.059,1.403,0.071,0.125,0.133,0.025,0.053,7.5,4.5
2546,3522,Lao PDR,H100101,2001-01-18,2001,1,18,21.0,8.21,10.0,25.8,1.674,0.592,0.086,0.014,2.271,0.053,0.316,0.008,0.054,0.009,7.58,0.6
2585,3523,Lao PDR,H100101,2001-02-18,2001,2,18,21.7,8.57,10.0,26.9,1.754,0.647,0.09,0.013,2.307,0.081,0.308,0.04,0.017,0.006,7.65,0.3
2617,3524,Lao PDR,H100101,2001-03-17,2001,3,17,22.2,7.94,8.0,26.4,1.586,0.377,0.091,0.018,2.26,0.08,0.29,0.041,0.014,0.011,8.35,0.8
2646,3525,Lao PDR,H100101,2001-04-19,2001,4,19,28.7,7.9,9.0,26.0,1.405,0.395,0.086,0.02,1.754,0.078,0.278,0.048,0.012,0.018,7.95,0.9
2682,3526,Lao PDR,H100101,2001-05-23,2001,5,23,27.4,7.98,29.0,24.8,1.251,0.413,0.063,0.012,1.616,0.035,0.267,0.106,0.037,0.041,7.59,1.0
2707,3527,Lao PDR,H100101,2001-06-19,2001,6,19,28.2,7.95,66.0,23.0,1.1,0.408,0.06,0.013,1.292,0.026,0.213,0.136,0.038,0.054,8.01,0.8
2722,3528,Lao PDR,H100101,2001-07-16,2001,7,16,28.5,7.81,95.0,12.8,0.885,0.403,0.055,0.011,1.238,0.007,0.128,0.266,0.085,0.055,7.84,0.6
2759,3529,Lao PDR,H100101,2001-08-17,2001,8,17,28.6,8.96,140.0,17.0,1.111,0.556,0.056,0.01,1.605,0.019,0.166,0.314,0.035,0.03,8.76,2.6
2794,3530,Lao PDR,H100101,2001-09-19,2001,9,19,27.6,8.98,120.0,17.4,1.322,0.49,0.063,0.018,1.743,0.034,0.119,0.194,0.03,0.046,7.3,0.5
2812,3531,Lao PDR,H100101,2001-10-14,2001,10,14,25.8,8.4,93.0,18.8,1.501,0.195,0.066,0.02,1.769,0.043,0.298,0.209,0.017,0.079,7.3,1.0
2855,3532,Lao PDR,H100101,2001-11-16,2001,11,16,21.5,8.8,75.0,20.9,1.445,0.183,0.058,0.018,1.739,0.091,0.137,0.049,0.032,0.027,7.451,1.0
2882,3533,Lao PDR,H100101,2001-12-16,2001,12,16,20.8,8.7,35.0,21.0,1.452,0.263,0.063,0.021,1.728,0.095,0.14,0.05,0.035,0.025,7.39,1.2
2902,3681,Lao PDR,H100101,2002-01-14,2002,1,14,20.6,8.6,16.0,26.6,1.356,0.084,0.093,0.008,1.929,0.048,0.147,0.056,0.03,0.011,6.76,0.9
2937,3682,Lao PDR,H100101,2002-02-14,2002,2,14,23.0,7.8,20.0,25.9,1.632,0.06,0.086,0.016,2.425,0.226,0.113,0.033,0.057,0.018,7.12,0.9
2966,3683,Lao PDR,H100101,2002-03-15,2002,3,15,26.1,8.36,28.0,26.7,1.694,0.673,0.091,0.011,2.45,0.306,0.324,0.009,0.071,0.011,7.61,1.3
2988,3684,Lao PDR,H100101,2002-04-13,2002,4,13,26.5,7.8,35.0,28.0,1.773,0.53,0.088,0.007,2.291,0.318,0.508,0.189,0.032,0.026,7.54,1.8
3023,3685,Lao PDR,H100101,2002-05-16,2002,5,16,28.3,7.17,49.0,20.6,1.577,0.155,0.087,0.008,1.939,0.207,0.226,0.235,0.017,0.03,6.83,0.1
3047,3686,Lao PDR,H100101,2002-06-15,2002,6,15,26.4,7.94,62.0,23.2,1.622,0.609,0.081,0.01,1.968,0.211,0.2,0.222,0.023,0.029,7.02,1.3
3089,3687,Lao PDR,H100101,2002-07-18,2002,7,18,24.4,7.4,80.0,16.4,1.102,0.48,0.085,0.015,1.06,0.102,0.149,0.188,0.04,0.04,9.0,1.8
3106,3688,Lao PDR,H100101,2002-08-15,2002,8,15,24.4,7.36,125.0,10.9,1.102,0.252,0.074,0.011,0.836,0.049,0.097,0.208,0.06,0.15,9.0,2.9
3136,3689,Lao PDR,H100101,2002-09-18,2002,9,18,26.0,7.83,120.0,18.6,1.165,0.729,0.08,0.012,0.704,0.066,0.492,0.108,0.015,0.031,7.45,1.6
