Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
4883,Lao PDR, H320101 ,2017-05-15,2017,5,15,28.8,6.4,74.0,7.5,0.442654690618763,0.2131687242798353,0.0260869565217391,0.0656410256410256,0.5899705014749262,0.0930888575458392,0.1399125546533416,0.06,0.02,0.03,5.17,3.54
4975,Lao PDR, H320101 ,2019-08-12,2019,8,12,27.7,7.03,71.17,20.1,1.4,0.4156378600823045,0.09,0.018,1.352015732546706,0.2200282087447108,0.2602540079117218,0.3,0.01,0.01,6.32,0.7
4884,Lao PDR, H320101 ,2017-08-18,2017,8,18,28.3,6.75,100.5,16.5,1.2902994011976,0.2477366255144032,0.0964347826086956,0.0158312020460358,1.4691052114061,0.0141043723554301,0.0524672079950031,0.25,0.04,0.07,7.27,2.45
4974,Lao PDR, H320101 ,2019-07-16,2019,7,16,27.5,7.395,73.12,18.8,1.19,0.419753086419753,0.075,0.03,1.674860701409374,0.022002820874471,0.100978555069748,0.41,0.02,0.03,6.45,2.9
5009,Lao PDR, H320101 ,2020-06-11,2020,6,11,26.1,7.758,57.6,16.7,1.1497005988023952,0.0823045267489712,0.4078260869565218,0.0877237851662404,1.2323828253031792,0.0558533145275035,0.400999375390381,0.025,0.1,0.05,6.24,10.0
4976,Lao PDR, H320101 ,2019-09-18,2019,9,18,27.2,7.065,44.0,18.52,1.38,0.237037037037037,0.04,0.02,1.138970829236316,0.2031029619181946,0.3289610660004164,0.24,0.03,0.03,6.81,2.06
4934,Lao PDR, H320101 ,2018-04-16,2018,4,16,26.5,7.25,3.75,15.6,1.34,0.21,0.04,0.02,1.19,0.221,0.09,0.17,0.01,0.01,7.26,2.0
5008,Lao PDR, H320101 ,2020-05-28,2020,5,28,25.1,7.55,34.83,14.2,1.1497005988023952,0.1020576131687242,0.0769565217391304,0.0260869565217391,1.2651589642740084,0.0352609308885754,0.0566312721215906,0.025,0.077,0.05,6.6,2.94
5010,Lao PDR, H320101 ,2020-07-23,2020,7,23,22.7,6.0,7.75,13.7,1.035928143712575,0.2452674897119341,0.0460869565217391,0.0258312020460358,1.123402163225172,0.0691114245416079,0.1255465334166146,0.12,0.05,0.05,5.17,2.19
4977,Lao PDR, H320101 ,2019-10-17,2019,10,17,27.3,7.576,11.3,11.08,0.9231536926147704,0.1646090534979424,0.03,0.01,0.901343821697804,0.0479548660084626,0.1082656672912762,0.37,0.016,0.02,6.22,1.48
4938,Lao PDR, H320101 ,2018-09-18,2018,9,18,26.9,7.263,112.33,15.5,1.25,0.21,0.09,0.03,1.3602097672894131,0.007052186177715,0.1503643556110764,0.2,0.01,0.21,6.9,4.16
4972,Lao PDR, H320101 ,2019-05-15,2019,5,15,29.8,7.056,55.83,7.35,0.46,0.1967078189300411,0.0291,0.0606,0.5342510652245166,0.0761636107193229,0.1036851967520299,0.27,0.01,0.022,6.07,0.93
4973,Lao PDR, H320101 ,2019-06-18,2019,6,18,28.3,7.351,17.2,12.54,0.92,0.2123456790123457,0.041,0.01709,1.0586692887577842,0.0535966149506346,0.0828648761190922,0.36,0.02,0.04,5.77,3.81
4882,Lao PDR, H320101 ,2017-04-18,2017,4,18,27.8,7.05,85.0,3.2,0.1996007984031936,0.08559670781893,0.0304347826086956,0.017,0.3064568993772533,0.006346967559944,0.0268582136164896,0.09,0.05,0.01,6.24,2.08
5011,Lao PDR, H320101 ,2020-09-24,2020,9,24,25.0,8.19,52.16,14.1,0.9960079840319362,0.2954732510288065,0.0334782608695652,0.0214833759590792,1.3285807931825628,0.0276445698166431,0.0683739329585675,0.053,0.024,0.05,6.4,1.8
4935,Lao PDR, H320101 ,2018-05-17,2018,5,17,28.6,7.15,22.25,15.2,1.25,0.12,0.07,0.02,1.22,0.16,0.07,0.32,0.02,0.01,5.9,2.96
