Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3398,Lao PDR,H230102,1999-08-17,1999,8,17,27.5,7.64,86.0,12.0,0.917,0.437,0.132,0.031,1.048,0.049,0.119,0.093,0.019,0.029,5.9,2.0
2833,Lao PDR,H230102,1990-12-17,1990,12,17,24.9,7.35,9.0,12.3,0.778,0.291,0.06,0.02,0.811,0.072,0.246,0.069,0.063,0.023,6.02,0.4
3142,Lao PDR,H230102,1994-03-17,1994,3,17,25.6,7.84,11.0,11.4,0.711,0.278,0.121,0.031,0.886,0.106,0.177,0.074,0.033,0.03,7.24,1.1
3541,Lao PDR,H230102,2001-08-21,2001,8,21,28.5,7.29,86.0,9.2,0.591,0.295,0.029,0.004,0.908,0.013,0.074,0.124,0.036,0.013,5.71,0.2
4004,Lao PDR,H230102,2004-02-24,2004,2,24,24.5,7.26,11.0,11.8,0.841,0.267,0.035,0.002,1.029,0.025,0.092,0.003,0.016,0.026,4.8,1.557
3399,Lao PDR,H230102,1999-09-27,1999,9,27,27.5,7.22,90.0,9.0,0.631,0.527,0.095,0.032,0.748,0.045,0.053,0.001,0.016,0.015,5.5,2.7
3865,Lao PDR,H230102,2003-10-17,2003,10,17,28.4,6.6,63.0,13.6,0.923,0.317,0.075,0.004,1.237,0.015,0.15,0.102,0.053,0.024,7.8,0.2
3141,Lao PDR,H230102,1994-02-15,1994,2,15,28.8,7.7,16.0,12.0,0.785,0.262,0.133,0.022,0.935,0.112,0.213,0.008,0.024,0.014,7.12,0.8
3536,Lao PDR,H230102,2001-03-16,2001,3,16,26.9,7.92,9.0,9.6,0.827,0.281,0.05,0.006,0.998,0.051,0.128,0.08,0.038,0.009,6.48,0.5
3207,Lao PDR,H230102,1995-08-15,1995,8,15,26.1,6.99,99.0,6.7,0.469,0.123,0.078,0.013,0.524,0.035,0.061,0.032,0.047,0.019,6.9,1.9
3070,Lao PDR,H230102,1993-11-17,1993,11,17,26.4,7.4,20.0,14.0,0.85,0.422,0.101,0.032,1.027,0.208,0.2,0.084,0.052,0.024,7.8,0.4
2978,Lao PDR,H230102,1992-02-13,1992,2,13,23.8,7.76,2.0,11.9,0.878,0.235,0.12,0.016,0.932,0.1,0.107,0.008,0.045,0.009,7.85,1.6
2832,Lao PDR,H230102,1990-11-17,1990,11,17,25.4,6.66,18.0,13.2,0.85,0.283,0.09,0.02,0.865,0.063,0.272,0.082,0.041,0.022,7.14,0.6
2652,Lao PDR,H230102,1986-12-16,1986,12,16,24.4,7.43,40.0,12.9,1.066,0.031,0.188,0.016,1.069,0.057,0.187,0.032,0.023,0.002,7.02,0.6
2648,Lao PDR,H230102,1986-03-17,1986,3,17,24.0,7.3,4.0,10.4,0.597,0.223,0.125,0.02,0.99,0.018,0.014,0.026,0.031,0.014,7.69,0.7
2828,Lao PDR,H230102,1990-06-18,1990,6,18,28.2,7.13,26.0,11.6,0.638,0.213,0.19,0.009,0.719,0.064,0.228,0.008,0.062,0.025,5.13,1.7
