MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H450101,2013-12-22,2013,12,22,24.5,6.87,26.0,5.81,0.178,0.244,0.143,0.033,0.398,0.074,0.102,0.203,0.033,0.22,7.764,0.634
Cambodia,H450101,2008-08-21,2008,8,21,27.5,7.53,76.5,5.7,0.222,0.147,0.156,0.029,0.436,0.033,0.133,0.129,0.049,0.226,7.178,1.751
Cambodia,H450101,2017-08-24,2017,8,24,28.6,6.88,43.0,7.5,0.25,0.279,0.211,0.046,0.46,0.054,0.209,0.201,0.058,0.08,8.638,1.652
Cambodia,H450101,2005-09-29,2005,9,29,27.0,6.03,35.0,4.2,0.169,0.103,0.104,0.038,0.25,0.027,0.112,0.299,0.003,0.044,8.391,4.88
Cambodia,H450101,2011-12-29,2011,12,29,25.5,7.15,23.0,6.35,0.171,0.275,0.134,0.058,0.48,0.061,0.133,0.182,0.025,0.032,7.048,1.849
Cambodia,H450101,2012-12-24,2012,12,24,29.0,6.89,16.8,5.88,0.208,0.2,0.116,0.06,0.403,0.067,0.091,0.163,0.025,0.032,8.619,1.849
Cambodia,H450101,2017-10-20,2017,10,20,29.0,7.0,24.0,6.9,0.167,0.194,0.236,0.052,0.512,0.065,0.133,0.375,0.051,0.061,7.941,4.206
Cambodia,H450101,2013-11-28,2013,11,28,29.0,7.51,11.0,6.27,0.193,0.255,0.155,0.026,0.465,0.072,0.09,0.371,0.035,0.07,9.151,1.107
Cambodia,H450101,2005-10-20,2005,10,20,25.5,7.17,43.0,3.52,0.183,0.026,0.109,0.025,0.269,0.049,0.016,0.318,0.103,0.086,6.841,1.491
Cambodia,H450101,2015-02-24,2015,2,24,26.9,7.338,7.0,4.878,0.165,0.144,0.137,0.045,0.341,0.052,0.099,0.115,0.0,0.004,7.619,1.781
Cambodia,H450101,2006-07-20,2006,7,20,29.0,6.61,29.0,5.19,0.18,0.12,0.187,0.039,0.368,0.089,0.035,0.132,0.026,0.148,8.533,4.047
Cambodia,H450101,2009-02-21,2009,2,21,27.0,7.63,5.0,7.5,0.221,0.219,0.257,0.048,0.485,0.162,0.141,0.126,0.052,0.056,7.87,1.631
Cambodia,H450101,2017-12-21,2017,12,21,26.8,7.32,44.31,6.54,0.214,0.239,0.172,0.051,0.38,0.064,0.23,0.179,0.04,0.156,8.725,2.343
Cambodia,H450101,2013-05-24,2013,5,24,29.0,7.12,37.0,6.63,0.282,0.157,0.185,0.035,0.421,0.078,0.165,0.202,0.137,0.072,6.145,1.633
Cambodia,H450101,2013-02-25,2013,2,25,30.0,6.82,11.0,6.92,0.212,0.273,0.145,0.03,0.45,0.078,0.187,0.148,0.062,0.034,8.083,1.367
Cambodia,H450101,2008-04-22,2008,4,22,30.5,6.73,5.5,7.46,0.201,0.27,0.225,0.054,0.554,0.046,0.122,0.023,0.018,0.007,6.562,2.835
Cambodia,H450101,2005-08-17,2005,8,17,26.5,7.4,82.0,5.1,0.212,0.051,0.237,0.031,0.404,0.041,0.072,0.254,0.002,0.056,7.346,0.219
Cambodia,H450101,2014-02-23,2014,2,23,27.5,7.42,53.0,3.988,0.159,0.093,0.16,0.027,0.23,0.051,0.134,0.135,0.044,0.027,8.176,0.081
Cambodia,H450101,2008-02-21,2008,2,21,25.0,7.39,22.0,7.18,0.216,0.267,0.138,0.032,0.49,0.023,0.187,0.074,0.105,0.052,7.402,1.749
Cambodia,H450101,2014-06-25,2014,6,25,28.0,7.27,47.0,4.47,0.185,0.079,0.146,0.033,0.29,0.05,0.121,0.28,0.007,0.081,7.914,1.371
Cambodia,H450101,2008-12-21,2008,12,21,27.0,7.14,28.0,6.36,0.204,0.2,0.206,0.034,0.492,0.067,0.107,0.072,0.017,0.081,6.899,3.857
Cambodia,H450101,2005-11-25,2005,11,25,25.0,6.76,17.0,3.99,0.102,0.098,0.166,0.043,0.281,0.038,0.066,0.073,0.011,0.037,8.857,1.442
Cambodia,H450101,2011-10-30,2011,10,30,28.0,6.78,23.0,7.85,0.157,0.282,0.226,0.048,0.518,0.094,0.163,0.203,0.025,0.082,8.224,1.586
Cambodia,H450101,2008-07-15,2008,7,15,30.0,6.45,89.0,7.78,0.212,0.226,0.202,0.047,0.505,0.044,0.183,0.386,0.016,0.143,6.878,2.103
Cambodia,H450101,2008-03-14,2008,3,14,28.0,7.6,12.0,7.66,0.223,0.212,0.244,0.053,0.475,0.048,0.213,0.011,0.118,0.026,8.26,1.742
Cambodia,H450101,2013-01-24,2013,1,24,29.375,7.06,14.333,6.62,0.219,0.149,0.222,0.032,0.378,0.064,0.243,0.079,0.081,0.016,8.935,2.319
Cambodia,H450101,2017-04-20,2017,4,20,30.0,7.557,18.5,7.8,0.39,0.2,0.18,0.02,0.58,0.1,0.124,0.078,0.03,0.029,8.108,0.565
Cambodia,H450101,2013-04-23,2013,4,23,30.5,6.69,9.5,6.8,0.172,0.24,0.252,0.048,0.442,0.059,0.152,0.074,0.035,0.04,9.616,0.961
Cambodia,H450101,2007-11-20,2007,11,20,27.0,7.5,38.0,6.36,0.211,0.191,0.208,0.041,0.486,0.059,0.153,0.25,0.05,0.133,8.46,1.203
Cambodia,H450101,2007-02-23,2007,2,23,30.5,7.2,3.0,5.98,0.186,0.206,0.185,0.05,0.508,0.06,0.033,0.02,0.011,0.02,7.736,6.618
Cambodia,H450101,2012-04-23,2012,4,23,29.0,7.31,6.0,7.24,0.204,0.243,0.179,0.106,0.468,0.084,0.17,0.149,0.059,0.043,6.838,3.933
Cambodia,H450101,2006-03-20,2006,3,20,31.0,6.8,9.0,6.48,0.224,0.186,0.155,0.043,0.538,0.026,0.069,0.089,0.099,0.01,7.555,0.969
Cambodia,H450101,2013-08-24,2013,8,24,28.6,6.88,43.0,4.85,0.158,0.077,0.184,0.034,0.223,0.034,0.171,0.201,0.058,0.08,8.638,1.652
Cambodia,H450101,2014-04-25,2014,4,25,29.0,6.78,5.5,6.3,0.207,0.146,0.255,0.03,0.371,0.137,0.135,0.101,0.035,0.133,9.834,0.037
Cambodia,H450101,2006-05-22,2006,5,22,27.5,7.07,53.0,7.15,0.253,0.099,0.258,0.046,0.49,0.047,0.096,0.398,0.007,0.088,7.393,1.288
Cambodia,H450101,2017-05-22,2017,5,22,29.637,7.754,37.35,8.0,0.348,0.218,0.262,0.049,0.563,0.098,0.204,0.187,0.025,0.018,7.258,0.805
Cambodia,H450101,2007-10-23,2007,10,23,26.5,7.14,59.001,5.98,0.201,0.207,0.173,0.031,0.459,0.049,0.131,0.347,0.026,0.144,7.829,0.099
Cambodia,H450101,2007-07-21,2007,7,21,26.5,7.23,67.001,5.95,0.14,0.09,0.173,0.056,0.257,0.042,0.204,0.178,0.125,0.237,7.552,3.927
Cambodia,H450101,2006-10-20,2006,10,20,28.5,7.27,45.0,6.45,0.18,0.2,0.204,0.033,0.471,0.049,0.095,0.298,0.005,0.136,7.779,1.248
