MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H910108,2004-08-17,2004,8,17,28.8,6.65,18.0,13.1,0.627,0.495,0.146,0.008,0.514,0.326,0.342,0.05,0.12,0.006,4.3,2.919
Lao PDR,H910108,2004-09-17,2004,9,17,27.32,7.72,24.0,10.4,0.654,0.227,0.128,0.007,0.4,0.098,0.525,0.024,0.038,0.008,3.7,3.688
Lao PDR,H910108,2005-09-14,2005,9,14,29.8,6.6,12.0,9.9,0.224,0.121,0.655,0.076,0.35,0.277,0.42,0.366,0.19,0.024,2.73,3.76
Lao PDR,H910108,2005-10-17,2005,10,17,30.2,6.85,16.0,10.1,0.202,0.103,0.708,0.084,0.421,0.23,0.468,0.295,0.32,0.034,3.4,3.98
Lao PDR,H910108,2006-03-16,2006,3,16,26.1,7.0,58.0,28.3,1.364,0.754,0.717,0.066,1.758,0.69,0.475,0.178,0.157,0.044,4.4,5.98
Lao PDR,H910108,2006-08-15,2006,8,15,30.0,6.7,10.0,12.6,0.587,0.202,0.389,0.082,0.446,0.487,0.216,0.33,0.045,0.05,2.35,6.359
Lao PDR,H910108,2006-09-19,2006,9,19,29.4,6.8,36.0,16.4,0.689,0.296,0.595,0.04,0.724,0.658,0.202,0.243,0.073,0.075,3.9,4.485
Lao PDR,H910108,2006-10-16,2006,10,16,26.9,7.0,34.0,19.0,1.041,0.432,0.445,0.053,1.306,0.16,0.385,0.433,0.079,0.056,5.4,1.62
Lao PDR,H910108,2007-09-25,2007,9,25,29.1,6.3,19.0,10.61,0.373,0.29,0.332,0.046,0.443,0.369,0.194,0.025,0.116,0.033,2.7,5.909
Lao PDR,H910108,2008-07-22,2008,7,22,28.2,6.61,54.0,17.55,0.99,0.426,0.318,0.059,0.824,0.452,0.404,0.405,0.1,0.051,5.13,2.094
Lao PDR,H910108,2008-08-12,2008,8,12,27.4,6.5,60.0,12.45,0.393,0.206,0.489,0.055,0.534,0.518,0.162,0.028,0.265,0.052,2.79,4.858
Lao PDR,H910108,2008-09-16,2008,9,16,29.5,6.85,64.0,13.12,0.368,0.248,0.621,0.054,0.544,0.612,0.107,0.012,0.056,0.088,1.92,4.858
Lao PDR,H910108,2008-11-18,2008,11,18,26.3,6.42,10.0,19.12,0.503,0.436,0.768,0.02,0.572,1.032,0.266,0.567,0.168,0.057,3.01,4.174
Lao PDR,H910108,2009-08-18,2009,8,18,30.2,6.25,18.0,11.04,0.241,0.176,0.6,0.056,0.304,0.538,0.16,0.222,0.097,0.059,3.52,3.48
Lao PDR,H910108,2010-08-17,2010,8,17,28.2,6.54,104.0,12.59,0.541,0.216,0.434,0.049,0.391,0.582,0.174,0.04,0.364,0.042,3.39,4.547
Lao PDR,H910108,2011-08-16,2011,8,16,30.4,6.65,5.0,10.4,0.306,0.191,0.42,0.052,0.406,0.459,0.156,0.054,0.018,0.109,2.4,3.448
Lao PDR,H910108,2011-10-18,2011,10,18,27.3,6.48,29.0,14.1,0.395,0.235,0.724,0.06,0.505,0.585,0.224,0.256,0.152,0.083,3.29,3.606
Lao PDR,H910108,2013-08-13,2013,8,13,30.5,6.73,22.6,13.2,0.2513715710723192,0.2567901234567901,0.6152173913043478,0.0810741687979539,0.6,0.5352112676056338,0.158125,0.055,0.01,0.03,2.2,4.6
Lao PDR,H910108,2014-08-19,2014,8,19,30.7,6.82,28.0,15.7,0.97,0.14,0.34,0.08,0.51,0.56,0.6,0.1,0.01,0.08,1.94,5.4
Lao PDR,H910108,2015-09-15,2015,9,15,30.5,6.8,40.0,22.5,0.495,0.237037037037037,0.4739130434782609,0.0397435897435897,0.674,0.4507042253521127,0.0833333333333333,0.12,0.08,0.02,1.99,5.4
