MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H320101,2014-05-16,2014,5,16,27.9,7.32,21.0,8.22,0.54,0.06,0.01,0.02,0.38,0.05,0.16,0.1,0.08,0.02,5.65,1.9
Lao PDR,H320101,1996-01-16,1996,1,16,24.0,7.91,3.0,20.0,1.546,0.461,0.114,0.026,1.961,0.029,0.259,0.188,0.019,0.008,9.93,0.3
Lao PDR,H320101,1990-07-20,1990,7,20,27.0,7.42,61.0,23.2,1.861,0.372,0.06,0.02,2.032,0.028,0.256,0.018,0.048,0.03,6.53,1.6
Lao PDR,H320101,1995-10-13,1995,10,13,24.0,8.36,97.0,21.2,1.573,0.458,0.13,0.025,1.907,0.037,0.172,0.199,0.02,0.147,8.56,1.1
Lao PDR,H320101,1986-09-11,1986,9,11,25.6,7.55,85.0,17.1,1.168,0.525,0.046,0.016,1.718,0.007,0.105,0.173,0.0,0.004,6.39,1.6
Lao PDR,H320101,2010-04-19,2010,4,19,28.0,7.2,8.0,4.57,0.197,0.203,0.068,0.029,0.369,0.03,0.083,0.069,0.082,0.021,7.47,2.728
Lao PDR,H320101,2005-10-14,2005,10,14,26.8,7.02,60.0,18.1,1.389,0.312,0.049,0.03,1.605,0.086,0.155,0.234,0.025,0.013,6.72,2.2
Lao PDR,H320101,1991-08-15,1991,8,15,27.0,7.45,84.0,19.4,1.191,0.578,0.12,0.042,1.664,0.018,0.241,0.248,0.023,0.015,7.19,0.4
Lao PDR,H320101,2002-12-16,2002,12,16,26.0,7.1,70.0,25.3,1.658,0.323,0.12,0.048,1.047,0.015,0.051,0.001,0.023,0.016,7.4,0.2
Lao PDR,H320101,2007-08-16,2007,8,16,28.0,6.96,262.0,17.98,1.553,0.325,0.028,0.018,1.553,0.112,0.145,0.229,0.04,0.025,8.02,2.736
Lao PDR,H320101,2014-09-26,2014,9,26,26.0,7.12,91.0,14.4,1.05,0.25,0.01,0.03,1.06,0.01,0.17,0.27,0.01,0.08,5.33,4.1
Lao PDR,H320101,2003-06-17,2003,6,17,26.0,7.03,40.0,14.7,1.133,0.292,0.086,0.014,1.359,0.043,0.074,0.29,0.075,0.043,6.9,2.1
Lao PDR,H320101,2001-08-17,2001,8,17,27.5,7.85,98.0,20.2,1.531,0.765,0.021,0.008,2.07,0.01,0.116,0.32,0.044,0.017,7.09,0.6
Lao PDR,H320101,2002-07-17,2002,7,17,26.0,7.2,96.0,20.4,1.61,0.196,0.116,0.026,1.908,0.046,0.029,0.306,0.021,0.02,7.21,1.3
Lao PDR,H320101,2002-08-15,2002,8,15,26.0,7.14,117.0,16.1,1.903,0.307,0.098,0.03,1.25,0.081,0.053,0.123,0.02,0.021,7.3,1.1
Lao PDR,H320101,1996-05-16,1996,5,16,30.0,7.81,12.0,24.7,1.811,0.639,0.081,0.028,2.016,0.033,0.267,0.012,0.034,0.022,8.1,2.4
Lao PDR,H320101,2001-07-12,2001,7,12,28.0,7.71,70.0,19.8,1.647,0.224,0.019,0.01,2.034,0.01,0.12,0.72,0.029,0.037,6.68,0.7
Lao PDR,H320101,2007-11-13,2007,11,13,23.0,7.31,131.0,8.25,0.453,0.249,0.15,0.021,0.531,0.193,0.117,0.187,0.034,0.007,11.468,2.577
Lao PDR,H320101,2015-01-29,2015,1,29,22.5,7.6,9.0,7.8,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.25,0.01,0.08,8.5,1.2
Lao PDR,H320101,1992-07-14,1992,7,14,29.0,8.35,46.0,21.1,1.448,0.549,0.183,0.03,1.794,0.008,0.323,0.244,0.037,0.016,7.82,1.8
Lao PDR,H320101,2005-09-05,2005,9,5,26.0,7.05,74.0,18.9,1.402,0.408,0.047,0.029,1.72,0.026,0.206,0.186,0.015,0.015,6.44,2.13
Lao PDR,H320101,2005-04-17,2005,4,17,27.0,7.6,16.0,21.8,1.615,0.511,0.074,0.018,2.0,0.019,0.146,0.013,0.028,0.017,7.3,0.911
Lao PDR,H320101,2011-10-16,2011,10,16,27.0,7.71,50.0,20.0,1.616,0.292,0.071,0.013,1.925,0.05,0.078,0.252,0.028,0.017,6.98,1.658
Lao PDR,H320101,1990-09-15,1990,9,15,26.0,7.37,330.0,15.9,1.03,0.257,0.114,0.02,1.076,0.02,0.297,0.154,0.046,0.09,8.08,2.5
Lao PDR,H320101,2006-04-22,2006,4,22,30.0,8.2,2.29,17.8,1.058,0.566,0.09,0.016,1.443,0.255,0.054,0.037,0.019,0.018,8.0,1.095
Lao PDR,H320101,1995-08-16,1995,8,16,26.0,6.38,201.0,22.4,1.602,0.534,0.115,0.013,2.061,0.002,0.023,0.167,0.043,0.018,8.88,1.5
Lao PDR,H320101,1992-06-11,1992,6,11,29.0,7.54,34.0,28.8,1.9,0.562,0.094,0.028,2.412,0.022,0.38,0.128,0.031,0.013,6.51,2.0
Lao PDR,H320101,2015-07-29,2015,7,29,24.4,7.5,94.0,15.2,1.3,0.2633744855967078,0.008695652173913,0.0333333333333333,1.46,0.0270422535211267,0.1458333333333333,0.27,0.06,0.01,6.3,5.0
Lao PDR,H320101,1987-11-12,1987,11,12,25.0,7.67,92.0,22.1,1.58,0.356,0.308,0.045,2.386,0.041,0.084,0.159,0.039,0.018,7.8,1.2
Lao PDR,H320101,2002-09-16,2002,9,16,26.4,7.07,120.0,14.3,1.331,0.222,0.084,0.035,1.47,0.071,0.118,0.102,0.022,0.02,7.33,1.1
Lao PDR,H320101,2004-08-19,2004,8,19,28.0,6.8,65.0,17.1,1.422,0.243,0.012,0.003,1.5,0.009,0.172,0.244,0.069,0.005,6.73,1.665
Lao PDR,H320101,2009-06-20,2009,6,20,26.0,7.5,135.0,16.4,1.309,0.253,0.04,0.026,1.561,0.034,0.176,0.24,0.171,0.063,6.5,3.35
Lao PDR,H320101,2015-05-21,2015,5,21,28.6,7.15,16.0,4.1,0.28,0.0905349794238683,0.02,0.01,0.38,0.0070422535211267,0.03125,0.06,0.09,0.13,5.9,2.8
Lao PDR,H320101,2010-06-17,2010,6,17,26.0,7.18,15.0,6.64,0.453,0.091,0.085,0.036,0.456,0.054,0.126,0.209,0.118,0.019,5.54,2.94
Lao PDR,H320101,1987-10-10,1987,10,10,28.0,7.37,24.0,27.9,1.67,0.441,0.175,0.015,1.924,0.001,0.381,0.098,0.004,0.011,8.3,0.9
Lao PDR,H320101,2014-08-15,2014,8,15,26.6,7.51,35.0,16.7,1.9,0.12,0.01,0.02,1.78,0.01,0.11,0.16,0.01,0.03,2.69,3.9
Lao PDR,H320101,2005-03-21,2005,3,21,28.0,8.1,2.0,20.6,1.5,0.463,0.065,0.016,1.823,0.01,0.207,0.029,0.031,0.013,6.6,1.178
Lao PDR,H320101,2007-09-13,2007,9,13,26.0,6.65,96.0,16.43,1.345,0.304,0.048,0.021,1.424,0.085,0.104,0.178,0.042,0.023,10.388,2.379
Lao PDR,H320101,1992-11-17,1992,11,17,24.6,7.8,25.0,27.3,1.755,0.642,0.185,0.057,1.984,0.052,0.384,0.388,0.028,0.013,8.78,0.1
Lao PDR,H320101,1990-05-15,1990,5,15,32.0,7.47,4.0,26.4,1.511,0.569,0.11,0.03,2.013,0.051,0.208,0.1,0.016,0.024,7.34,1.0
Lao PDR,H320101,1991-06-12,1991,6,12,25.0,7.52,119.0,22.1,1.432,0.611,0.124,0.03,1.655,0.033,0.362,0.668,0.042,0.057,7.19,0.7
Lao PDR,H320101,2005-07-16,2005,7,16,27.8,7.0,78.0,16.9,1.21,0.366,0.148,0.038,1.396,0.018,0.215,0.148,0.034,0.025,7.2,1.035
Lao PDR,H320101,1991-07-16,1991,7,16,25.0,7.52,210.0,20.8,1.283,0.592,0.118,0.033,1.643,0.036,0.257,0.428,0.022,0.059,7.13,0.4
Lao PDR,H320101,2015-03-18,2015,3,18,25.8,6.93,9.2,3.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.31,0.08,0.01,7.59,2.2
Lao PDR,H320101,2008-03-14,2008,3,14,21.8,7.89,6.0,25.7,1.959,0.664,0.124,0.01,2.369,0.161,0.178,0.007,0.036,0.011,8.01,1.396
Lao PDR,H320101,2015-06-17,2015,6,17,27.3,7.5,18.0,3.8,0.31,0.0757201646090535,0.0160869565217391,0.0233333333333333,0.36,0.0070422535211267,0.0916666666666666,0.07,0.21,0.29,6.82,4.2
Lao PDR,H320101,1989-05-13,1989,5,13,32.0,7.86,100.0,10.9,0.77,0.188,0.19,0.012,0.98,0.101,0.017,0.267,0.043,0.009,6.65,3.6
Lao PDR,H320101,1999-08-11,1999,8,11,25.0,7.72,160.0,21.2,1.418,0.403,0.04,0.029,1.419,0.03,0.103,0.207,0.056,0.012,7.13,3.5
Lao PDR,H320101,1992-10-14,1992,10,14,24.0,7.93,78.0,24.3,1.732,0.433,0.144,0.019,1.825,0.1,0.388,0.453,0.027,0.066,7.66,1.0
Lao PDR,H320101,1987-02-13,1987,2,13,24.8,7.73,16.0,22.4,1.378,0.464,0.369,0.036,1.777,0.223,0.419,0.064,0.002,0.011,8.5,0.4
Lao PDR,H320101,2011-04-17,2011,4,17,27.0,8.01,10.0,5.19,0.347,0.101,0.066,0.027,0.431,0.041,0.075,0.078,0.1,0.019,6.3,2.36
Lao PDR,H320101,1986-07-29,1986,7,29,24.6,7.46,78.0,16.8,1.502,0.16,0.208,0.009,1.605,0.028,0.106,0.069,0.01,0.008,7.36,1.5
Lao PDR,H320101,1996-08-12,1996,8,12,26.0,7.18,120.0,18.4,1.456,0.485,0.042,0.021,2.032,0.004,0.13,0.195,0.011,0.017,7.2,1.1
Lao PDR,H320101,2009-04-16,2009,4,16,26.0,7.71,11.0,21.66,1.513,0.603,0.11,0.014,2.066,0.058,0.055,0.069,0.015,0.022,6.87,1.338
Lao PDR,H320101,2015-10-21,2015,10,21,26.3,6.89,17.66,13.1,0.5236907730673317,0.2279835390946502,0.0191304347826086,0.0148717948717948,0.738,0.0270422535211267,0.0416666666666666,0.16,0.01,0.02,7.61,1.76
