Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3691,Viet Nam,H019804,2003-01-15,2003,1,15,28.5,6.89,40.0,14.0,0.695,0.489,0.26,0.035,1.026,0.165,0.218,0.438,0.0,0.133,5.79,2.44
3692,Viet Nam,H019804,2003-02-15,2003,2,15,29.0,6.91,10.0,14.5,0.744,0.302,0.281,0.039,1.044,0.153,0.238,0.086,0.0,0.029,6.6,2.44
3693,Viet Nam,H019804,2003-03-15,2003,3,15,30.0,6.84,15.5,12.6,0.665,0.327,0.239,0.033,0.977,0.156,0.173,0.238,0.0,0.031,7.45,2.12
3694,Viet Nam,H019804,2003-04-15,2003,4,15,28.5,6.86,64.0,13.6,0.681,0.395,0.269,0.039,1.011,0.18,0.162,0.467,0.022,0.135,6.85,2.65
3695,Viet Nam,H019804,2003-05-15,2003,5,15,28.6,7.18,6.8,19.2,1.044,0.227,0.647,0.043,1.39,0.467,0.096,0.12,0.016,0.076,7.12,2.03
3696,Viet Nam,H019804,2003-07-15,2003,7,15,29.0,6.96,57.0,16.3,0.811,0.358,0.358,0.043,1.026,0.435,0.263,0.124,0.05,0.036,6.92,1.82
3697,Viet Nam,H019804,2003-08-15,2003,8,15,28.0,6.82,108.0,11.0,0.622,0.224,0.157,0.027,0.875,0.189,0.016,0.155,0.02,0.109,7.78,2.42
3698,Viet Nam,H019804,2003-10-15,2003,10,15,27.0,6.97,57.0,13.0,0.703,0.33,0.232,0.048,0.98,0.159,0.08,0.066,0.0,0.079,6.41,2.31
3699,Viet Nam,H019804,2003-11-15,2003,11,15,28.0,6.99,66.0,13.9,0.7,0.3,0.225,0.058,1.013,0.143,0.104,0.311,0.049,0.106,5.24,3.13
3700,Viet Nam,H019804,2003-12-15,2003,12,15,28.5,6.89,40.0,14.0,0.695,0.489,0.26,0.035,1.026,0.165,0.218,0.438,0.0,0.133,7.07,2.44
3741,Viet Nam,H019804,2004-01-15,2004,1,15,28.5,6.85,25.0,17.23,0.82,0.43,0.301,0.039,1.24,0.146,0.21,0.124,0.0,0.2,7.42,3.26
3742,Viet Nam,H019804,2004-02-15,2004,2,15,30.0,6.94,39.0,16.8,0.862,0.395,0.367,0.039,1.32,0.212,0.147,0.333,0.0,0.16,6.76,3.01
3743,Viet Nam,H019804,2004-03-15,2004,3,15,30.0,7.17,22.5,20.6,1.025,0.517,0.447,0.037,1.379,0.255,0.282,0.128,0.008,0.158,4.83,1.54
3744,Viet Nam,H019804,2004-04-15,2004,4,15,28.5,7.33,26.8,20.5,1.056,0.512,0.479,0.044,1.371,0.236,0.388,0.167,0.0,0.066,5.38,3.67
3745,Viet Nam,H019804,2004-05-15,2004,5,15,28.6,7.14,42.0,22.6,1.126,0.577,0.507,0.044,1.34,0.345,0.477,0.213,0.011,0.072,5.406,3.26
3746,Viet Nam,H019804,2004-06-15,2004,6,15,28.0,7.3,61.0,17.6,1.008,0.32,0.335,0.041,1.24,0.179,0.337,0.188,0.012,0.042,6.89,2.56
3747,Viet Nam,H019804,2004-07-15,2004,7,15,29.0,7.22,75.0,14.5,0.93,0.129,0.369,0.051,1.031,0.385,0.084,0.104,0.02,0.119,6.209,3.29
3748,Viet Nam,H019804,2004-10-15,2004,10,15,29.0,7.09,101.0,12.2,0.523,0.521,0.197,0.042,1.021,0.275,0.037,0.136,0.027,0.147,6.156,4.01
