Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
1203,Cambodia,H014901,2009-02-23,2009,2,23,30.1,7.72,9.0,21.3,1.102,0.414,0.591,0.04,1.345,0.325,0.368,0.007,0.039,0.045,7.83,0.578
962,Cambodia,H014901,2007-12-26,2007,12,26,25.7,8.12,21.0,17.87,0.931,0.33,0.321,0.037,1.222,0.176,0.284,0.159,0.027,0.033,7.612,1.659
245,Cambodia,H014901,1998-02-18,1998,2,18,29.0,8.14,7.3,20.0,1.245,0.602,0.35,0.03,1.525,0.202,0.382,0.02,0.04,0.01,7.31,1.7
588,Cambodia,H014901,2004-08-17,2004,8,17,31.0,6.53,100.0,10.5,0.554,0.172,0.304,0.037,0.923,0.067,0.059,0.203,0.017,0.156,6.621,2.32
1530,Cambodia,H014901,2013-01-24,2013,1,24,30.175,6.83,7.0,18.96,1.107,0.488,0.27,0.027,1.486,0.141,0.36,0.026,0.086,0.055,9.457,1.659
295,Cambodia,H014901,2000-04-09,2000,4,9,31.0,7.7,9.75,2.02,1.065,0.479,0.44,0.05,1.067,0.014,0.538,0.069,0.076,0.01,8.306,1.468
823,Cambodia,H014901,2006-06-20,2006,6,20,31.6,6.98,63.0,17.83,0.902,0.316,0.533,0.044,1.059,0.456,0.17,0.302,0.007,0.075,7.475,1.546
93,Cambodia,H014901,1996-06-16,1996,6,16,30.5,6.52,55.0,11.7,0.579,0.256,0.26,0.04,0.786,0.163,0.165,0.237,0.049,0.03,6.88,2.6
369,Cambodia,H014901,2001-12-18,2001,12,18,27.5,7.76,84.0,16.07,0.32,0.553,0.291,0.033,1.224,0.01,0.328,0.297,0.003,0.015,9.003,1.8
1394,Cambodia,H014901,2012-06-19,2012,6,19,31.0,7.08,29.4,14.84,0.722,0.364,0.338,0.066,0.917,0.264,0.201,0.16,0.033,0.202,6.733,1.856
247,Cambodia,H014901,1998-05-14,1998,5,14,31.0,7.29,23.0,21.6,1.106,0.539,0.5,0.04,1.472,0.245,0.384,0.34,0.02,0.02,7.49,2.2
