MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Viet Nam,H988115,2004-07-15,2004,7,15,30.0,7.19,76.0,14.1,0.589,0.36,0.41,0.043,1.048,0.202,0.096,0.146,0.024,0.088,6.57,2.53
Viet Nam,H988115,2004-09-15,2004,9,15,31.5,7.02,48.5,9.5,0.548,0.165,0.183,0.039,0.785,0.096,0.082,0.239,0.022,0.095,6.85,3.36
Viet Nam,H988115,2004-10-15,2004,10,15,30.0,7.08,37.0,11.0,0.464,0.462,0.17,0.034,0.868,0.226,0.047,0.295,0.006,0.101,6.37,3.02
Viet Nam,H988115,2004-11-15,2004,11,15,29.0,7.11,105.0,11.0,0.613,0.292,0.198,0.041,0.886,0.22,0.076,0.25,0.0,0.115,6.21,3.47
Viet Nam,H988115,2005-02-15,2005,2,15,28.9,7.11,59.0,16.8,0.8,0.4419999999999999,0.479,0.047,1.219,0.42,0.14,0.134,0.037,0.203,6.22,2.78
Viet Nam,H988115,2005-06-15,2005,6,15,27.0,7.13,79.0,19.4,0.947,0.4640000000000001,0.453,0.054,1.216,0.303,0.275,0.13,0.055,0.169,5.92,3.08
Viet Nam,H988115,2005-07-15,2005,7,15,28.4,7.26,79.0,12.3,0.666,0.2239999999999999,0.256,0.048,0.77,0.158,0.284,0.345,0.081,0.102,6.03,3.2
Viet Nam,H988115,2005-08-15,2005,8,15,28.4,6.9,74.0,12.5,0.623,0.284,0.293,0.066,0.675,0.196,0.311,0.174,0.048,0.131,5.96,3.38
Viet Nam,H988115,2005-10-15,2005,10,15,25.4,7.22,96.5,11.2,0.646,0.241,0.18,0.035,0.889,0.058,0.093,0.146,0.01,0.194,6.53,1.72
Viet Nam,H988115,2005-11-15,2005,11,15,26.2,7.1,62.5,11.1,0.646,0.2259999999999999,0.211,0.039,0.889,0.054,0.086,0.081,0.028,0.168,6.32,1.85
Viet Nam,H988115,2005-12-15,2005,12,15,23.9,7.24,57.0,11.6,0.607,0.268,0.24,0.039,0.838,0.132,0.132,0.311,0.021,0.147,6.45,3.0
Viet Nam,H988115,2006-02-15,2006,2,15,25.9,7.43,34.5,13.9,0.795,0.2219999999999998,0.302,0.04,0.911,0.262,0.137,0.0,0.035,0.074,4.97,2.77
Viet Nam,H988115,2006-03-15,2006,3,15,27.3,7.06,44.0,17.0,0.812,0.5089999999999999,0.356,0.052,1.182,0.249,0.251,0.026,0.005,0.063,4.9,3.14
Viet Nam,H988115,2006-04-15,2006,4,15,27.4,6.77,36.5,19.1,0.894,0.5459999999999999,0.418,0.051,1.305,0.3,0.218,0.002,0.03,0.157,5.21,2.8
Viet Nam,H988115,2006-11-15,2006,11,15,25.8,6.79,50.5,10.8,0.523,0.274,0.243,0.038,0.749,0.232,0.098,0.381,0.016,0.167,5.04,5.08
Viet Nam,H988115,2007-01-15,2007,1,15,26.5,6.86,37.5,12.7,0.566,0.4860000000000001,0.27,0.029,0.983,0.169,0.146,0.032,0.001,0.062,6.35,4.68
