MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H020108,2011-12-28,2011,12,28,27.3,6.92,11.999999999999927,8.2,0.3211538461538462,0.1673076923076923,0.231941,0.0566256,0.529837997054492,0.1107236268526591,0.1512991999999999,0.0208299999999999,0.0826712,0.0203276999999999,7.256791722981891,6.349315068493149
Cambodia,H020108,2006-09-14,2006,9,14,29.5,6.53,75.0,10.04,0.561,0.227,0.277,0.058,0.746,0.107,0.164,0.2243,0.106,0.1012,9.8192,1.5
Cambodia,H020108,2014-01-24,2014,1,24,25.8,7.12,24.0,8.8522,0.304578313253012,0.2737349397590361,0.27955,0.031,0.556,0.1956521739130435,0.1917326999999999,0.1158937999999999,0.0829425999999999,0.0739518,6.053619342959588,4.067581837381205
Cambodia,H020108,2006-11-21,2006,11,21,30.8,7.05,74.0,8.09,0.34,0.15,0.2785,0.0372,0.609,0.111,0.103,0.0161,0.002842,0.0623539,7.47,5.294117647
Cambodia,H020108,2005-12-27,2005,12,27,24.2,6.83,51.0,8.8,0.36,0.125,0.295,0.0446,0.643,0.102,0.125,0.037,0.0322,0.0186,4.747,2.559
Cambodia,H020108,2005-09-28,2005,9,28,29.3,7.02,14.0,9.07,0.5771,0.1261,0.1925,0.035,0.752,0.059,0.146,0.11,0.0055,0.019,7.434,3.6
Cambodia,H020108,2017-12-23,2017,12,23,27.7,7.335,40.69,9.78,0.37639716028928,0.2530945737912651,0.3436950034798535,0.0623496062693766,0.567992317557996,0.126354449893591,0.2805425946428571,0.1030941904761904,0.0850784285714285,0.1400371761904762,7.780374090972618,5.799433293103096
Cambodia,H020108,2007-11-21,2007,11,21,27.6,7.31,7.999999999999952,9.31,0.4267569856054192,0.2215071972904319,0.1861,0.03435,0.6877551020408164,0.099195710455764,0.1686027,0.249608,0.0739696,0.095913,8.462283577276358,1.9698113207547163
Cambodia,H020108,2005-01-19,2005,1,19,28.2,6.5,34.0,9.4,0.3701,0.2288,0.331,0.0296,0.6476,0.098,0.204,0.186,0.0189,0.0516,5.35,6.766
Cambodia,H020108,2006-02-19,2006,2,19,29.2,7.34,38.0,9.62,0.468,0.081,0.252,0.0724,0.5431,0.154,0.153,0.184,0.036,0.0126,7.182,3.946
