Actual,Predicted
13.32,13.588967
10.17,10.342867
11.56,12.146572
6.02,6.1579924
9.78,9.465721
10.95,10.679252
8.58,8.202617
5.88,5.520628
12.8,12.555286
6.12,5.9716578
8.93,8.967891
14.84,16.122545
8.81,8.997213
17.5,18.011099
15.76,17.00031
11.21,10.606031
8.06,7.9511156
23.3,23.050762
21.7,21.39253
18.44,18.22044
11.4,11.803336
9.72,10.116911
12.5,13.136603
6.33,6.8883753
12.2,12.517769
6.28,6.529666
8.21,8.09714
6.65,6.703987
13.9,14.321269
4.2,4.0443916
5.78,5.4891663
9.22,9.642793
7.54,7.845701
6.27,6.505307
19.5,21.284098
5.31,5.322976
16.2,17.577587
16.43,17.794989
15.4,16.514835
21.7,22.92011
24.0,23.147072
9.7,9.230459
20.6,21.349646
16.87,16.607603
6.91,6.5029364
7.1,6.9080763
6.87,6.790427
7.34,6.3417044
9.43,9.384763
9.65,9.875563
9.37,8.992378
7.36,7.396076
7.83,7.516182
16.83,17.45049
18.0,18.193264
5.91,5.915964
5.81,5.7941265
5.83,5.5869436
5.7,5.822851
19.47,20.747356
4.3,3.8482864
11.04,11.35973
11.51,11.722294
24.6,25.03719
18.39,18.202452
20.5,20.648462
18.6,17.476227
18.69,18.938616
13.08,13.534122
12.87,13.5758295
12.01,10.262251
20.2,18.962193
4.22,3.8041694
8.81,9.263072
4.81,4.3301334
8.8522,8.939368
3.98,4.0040693
9.34,8.789635
20.9,20.385191
6.82,7.1037035
9.26,9.864574
8.63,8.712556
23.3,23.381056
8.56,7.346799
22.0,22.724554
10.96,11.212548
4.11,3.7299237
4.55,4.4084253
22.6,22.233599
6.98,7.24866
16.6,16.190792
3.9876,3.697437
15.39,16.325691
16.15,16.659723
19.17,19.941164
17.86,19.682507
18.38,20.649422
7.74,8.335999
12.25,11.445285
10.21,10.376247
8.07,7.755289
6.87,8.129298
17.72,17.126772
18.09,16.917948
16.7,15.351993
17.88,17.52242
10.13,10.241322
17.8,17.948597
17.1,17.005478
14.84,14.273903
13.06,13.283052
5.0,5.867654
5.21,5.178279
5.22,5.592288
8.231,9.336693
5.18,5.813408
18.02,19.598251
20.8,22.714233
8.23,8.138389
18.33,18.534609
21.0,22.540144
15.64,16.574594
23.0,23.781353
8.54,9.594109
8.43,8.28252
20.9,21.00191
24.2,22.853832
22.3,20.552094
23.1,21.328836
22.5,22.545958
22.0,20.804844
23.0,22.528816
10.46,10.145008
23.5,24.894548
25.3,26.802519
10.71,10.357106
14.21,15.534218
12.45,12.567275
19.82,19.259165
18.87,19.018679
18.88,19.461664
12.7,12.781961
18.81,19.798876
36.8,27.993612
18.32,17.25892
20.7,18.44406
6.5,17.725996
9.28,9.881279
17.0,18.24472
15.6,6.0668707
7.72,7.9671764
7.33,7.7009354
6.3,6.200495
8.0,16.483467
21.6,20.222353
5.57,5.5294933
4.941,4.9448347
26.0,23.03602
13.49,11.260784
28.2,34.528637
12.62,13.971353
23.2,27.817768
8.22,6.858307
9.1,15.236544
30.5,27.69752
33.4,15.867502
23.7,22.716291
19.0,21.662458
15.2,17.24479
18.96,20.325756
19.75,19.942324
19.51,20.356678
19.66,19.87617
16.51,17.658855
19.68,20.897821
17.7,17.274044
7.01,7.4754076
21.3,21.83136
6.97,6.549157
7.88,7.3997955
7.88,7.928034
13.23,13.252838
19.37,20.182148
20.7,21.712042
16.7,13.931064
15.81,16.098516
15.7,15.365574
15.64,16.862068
4.34,4.307705
15.03,15.205382
6.88,6.198081
4.47,4.383795
14.45,15.884293
5.0,4.290182
13.84,14.330807
14.42,14.481118
14.1,14.245661
16.06,17.245926
15.57,17.141048
18.78,20.985792
14.13,15.177005
7.55,8.173495
12.53,11.391539
14.73,16.205696
7.1,7.1735907
12.43,12.426411
11.1,14.791037
16.7,13.72754
12.7,15.101016
14.5,20.670607
6.4,10.210019
16.7,21.10309
23.7,20.790617
8.03,8.352903
11.65,15.570201
5.98,7.3682146
6.58,7.5365286
11.27,14.623083
7.47,8.522193
15.2,13.213274
13.6,11.916246
15.7,18.352137
9.53,10.406933
2.81,3.6691988
10.59,10.909275
11.26,11.511305
9.8,10.165219
10.03,10.325311
12.16,12.113035
17.5,8.4433155
19.8,11.757391
13.6,12.476964
9.64,9.786481
10.17,10.504458
7.2,7.737159
11.57,11.985125
12.08,13.508724
14.42,15.390786
10.76,10.681905
12.56,14.245516
20.1,6.964878
8.0,10.457523
14.4,13.236818
15.8,14.897371
15.7,18.68661
6.61,9.012859
18.22,21.701298
19.15,25.131561
9.53,10.25411
10.12,11.98869
9.49,10.93302
14.48,13.627525
3.28,3.5454113
11.73,12.332787
11.28,12.078742
9.29,8.496743
16.6,18.229914
11.0,7.574671
17.0,11.640657
11.2,5.5639114
11.2,8.028649
21.9,26.813173
23.0,12.614601
30.5,18.352503
11.23,9.37875
11.69,11.582699
20.9,22.238857
21.7,21.8617
14.41,13.912442
15.99,15.046371
11.42,11.318768
11.23,11.488726
25.9,27.16356
23.5,24.458767
26.3,26.701273
11.735,10.869388
18.845,14.290838
27.65,27.745733
14.48,12.691473
27.05,30.509775
17.59,17.863806
17.453043,16.397182
17.805218,17.161196
6.313846,6.350273
18.553333,17.78041
14.007692,13.849021
9.931739,9.873604
10.446154,10.060885
13.6830435,13.454128
6.27,6.3562803
8.327392,8.314363
8.443479,8.304875
9.303478,8.583705
4.5523076,4.438635
4.230909,3.989518
28.3,28.2843
12.4,14.228575
22.5,22.569176
25.0,25.991169
11.24,11.927034
15.14,14.101267
13.37,13.291876
8.49,8.697217
10.481034,10.132875
8.907931,8.71835
19.87862,18.921389
16.262632,15.973278
19.513103,19.072578
4.878421,5.0587473
22.632631,21.327822
19.923794,18.953852
15.701035,15.326337
6.5,8.206963
4.5864706,4.6602182
5.83,6.076688
11.176316,10.780268
10.522414,9.780045
8.142069,7.9339304
1.18,2.3446887
6.11,5.930481
12.96,14.373613
27.2,26.445923
11.62,11.092633
21.6,21.59046
26.1,26.473701
19.330435,19.332449
11.724615,11.061928
9.394615,8.983974
6.9703293,6.6120577
17.535652,17.136541
17.613077,17.051958
8.271739,8.3328285
8.997826,8.260006
8.482609,7.9494133
21.483076,21.17234
19.192173,18.286839
6.976842,7.051177
3.6,3.6784728
7.025,6.368165
11.229566,11.292248
12.600869,11.897815
9.4,12.203975
11.0,22.284765
23.1,23.841063
20.8,21.95101
1.7,3.6579068
20.9,21.403854
14.32,14.809662
7.35,7.328514
20.7,22.010754
23.8,26.486677
3.6,4.955118
9.012069,8.641247
4.8018184,4.5882874
7.2254615,6.810401
6.8236365,6.4722013
10.628965,10.395479
20.091724,18.585741
18.691034,17.608244
9.209311,8.704235
5.9,5.4659033
5.6,5.8695498
4.6746154,4.7454767
13.538965,12.8626585
16.21,14.819437
23.7,26.157866
25.0,27.067339
10.0,13.160579
13.97,14.773197
21.6,25.003187
22.1,25.162182
10.73,11.79133
21.4,26.347458
20.3,21.11978
4.1,5.400568
17.08739,16.181198
9.918347,9.784438
5.5,5.987644
10.569565,10.093921
19.60923,19.593576
16.517391,15.487282
15.399131,15.572071
16.62,16.406519
17.33174,15.6276045
5.5316315,5.9515886
5.4511766,5.3342648
7.432941,7.2638674
12.703077,11.950202
7.6711764,7.66325
14.274736,14.119993
14.116087,13.753611
10.496957,9.850734
22.45,24.873793
9.88,11.379897
14.93,14.981158
18.0,23.803476
41.5,13.933977
28.3,23.735998
20.8,20.598158
19.82,23.20316
8.49,9.95545
26.45,30.074188
15.31,15.939846
28.5,21.492271
12.0,11.72462
14.6,15.186624
15.2,17.095741
9.47,9.089475
6.6,6.785308
11.58,10.514896
14.9,13.37709
18.4,21.958458
17.6,21.258665
7.82,7.4392633
8.8,8.362936
11.8,12.449141
12.8,14.32892
8.5,8.46535
3.0,3.1699421
10.9,11.843725
12.5,13.884199
13.9,13.5158825
12.2,13.057598
11.1,12.335594
22.5,12.256788
9.0,8.887376
16.5,24.148144
16.8,24.094915
8.1,10.900209
18.6,23.710796
7.74,8.599359
14.57,13.499441
8.66,8.805526
13.55,14.836967
7.2,8.547476
17.5,17.028645
13.0,12.509769
4.5,10.99847
3.5,3.5059931
11.41,12.056757
12.05,12.993054
11.85,12.74362
9.2,9.052791
12.44,13.404359
20.3,21.010942
17.5,19.309378
17.5,17.163206
17.7,18.454958
13.1,8.220188
8.11,8.559187
21.4,22.770504
20.5,20.425888
20.0,20.202251
11.35,12.659053
11.38,12.671734
20.4,24.628057
23.4,28.84716
20.45,26.782522
21.3,19.108961
22.9,26.987364
22.5,22.311266
12.36,16.160975
21.95,27.889978
8.53,12.571542
7.31,9.680333
18.8,18.639326
19.66,18.42449
15.2,14.452361
18.09,18.186872
18.07,16.451971
18.21,17.513063
18.99,18.264666
21.7,20.134016
24.4,31.791487
8.22,11.874744
22.3,27.085142
9.19,10.325453
24.2,22.008532
18.7,17.85595
13.21,12.350615
13.46,11.9004965
21.7,21.266205
22.1,21.940575
18.5,17.267477
22.6,21.599678
24.23,29.23871
13.47,17.199385
15.68,19.594776
24.28,28.53441
12.37,15.964647
21.4,19.850124
21.8,19.272366
21.9,20.264582
23.4,22.420153
21.68,19.738588
23.6,21.333292
23.1,22.539053
21.9,21.46226
21.9,20.884863
21.2,20.578259
21.9,19.595587
21.9,22.875492
10.42,12.951595
27.1,27.668314
33.6,26.116632
25.7,29.85371
24.1,25.057142
29.3,29.722834
28.6,28.117071
21.9,20.679094
19.7,20.053852
21.0,20.673958
22.0,22.14791
18.7,17.40866
20.6,19.53617
21.8,21.255596
25.35,25.96787
10.9,12.321633
22.45,24.653612
21.9,20.550516
20.9,19.469667
19.0,17.683512
18.7,17.132273
20.1,18.959848
20.8,18.888842
18.4,18.187426
20.3,19.525211
21.3,19.23074
14.39,20.153847
13.26,18.715204
14.2,12.26966
14.3,12.720531
20.6,20.574923
13.83,13.749746
14.22,15.104387
14.18,14.370212
13.82,13.230438
17.01,16.001366
13.7,14.02761
12.35,12.9084835
13.72,13.766932
14.82,15.487579
15.69,21.967155
13.54,19.605545
12.9,10.28866
11.67,12.610319
12.92,12.66287
14.63,15.430723
16.58,16.581602
15.83,15.91905
12.28,12.120037
11.67,11.839145
12.85,12.102215
12.4,18.765203
10.77,15.941247
15.65,21.927143
20.4,23.795927
11.78,12.147312
11.65,11.961847
11.72,12.2140045
12.4,12.870584
11.9,14.94984
13.4,12.848127
11.93,12.063083
12.88,12.282595
12.58,11.995613
11.98,11.572366
11.9,11.178532
14.79,15.073076
13.43,13.171404
16.3,15.34615
10.05,11.301131
11.56,11.427513
10.64,9.684715
19.17,24.922552
19.2,24.860252
15.96,22.395037
17.7,19.470304
13.6,16.323118
20.6,16.796698
22.4,25.206526
13.97,12.893657
9.02,9.120853
8.99,9.44906
11.85,10.83877
12.42,13.23047
13.79,13.399845
10.0,9.87146
16.5,15.017372
18.14,15.242129
15.9,22.300127
20.5,24.901049
12.4,18.962036
9.63,13.760644
19.15,23.197233
12.59,11.942534
13.81,13.52397
11.89,11.41865
12.6,12.271721
10.85,10.924879
8.71,8.135058
7.65,7.7483587
7.5,7.360776
10.7,10.337803
22.3,27.18025
24.55,29.28655
22.95,26.8826
21.9,21.780304
19.6,19.160612
14.585,15.090101
14.7,15.0740795
19.56,18.84036
17.901667,18.514627
23.4,27.909994
13.44,15.456073
23.9,28.051384
11.83,14.629055
24.0,27.922123
29.2,29.554775
11.93,12.54166
23.75,25.1993
20.7,20.613134
21.0,22.605856
22.123045,22.975273
22.03527,22.42631
14.360862,15.454909
18.804213,19.64335
7.681891,8.280704
18.581774,19.147898
8.8,8.156378
14.408744,15.377696
23.466429,22.85177
7.4609776,8.264155
9.869852,9.966548
9.447143,10.105724
7.2750015,7.6392975
10.8348875,10.971328
13.253647,13.56373
11.63,13.367566
18.92,19.525953
7.01,6.0368834
19.44,20.575087
19.900684,20.752728
8.959739,8.784938
20.0125,21.120104
24.6,24.604113
9.7,9.544283
20.7,21.687426
21.642307,21.368093
6.82,6.6737986
18.986261,19.497149
20.264217,20.178926
6.9,7.1378727
18.892174,19.493254
14.713646,15.812511
14.734391,14.617097
4.71,5.2260485
23.1,23.976568
6.63,5.673208
12.35,13.190982
19.383522,19.292646
18.820715,18.92422
21.9,21.502787
7.8,8.079248
7.5,7.304841
18.114248,18.360384
19.262533,19.476435
19.275259,19.573683
19.220844,19.530039
8.5,7.575631
19.8,17.521029
15.9667,15.5970745
24.4,29.216873
19.13,19.0559
12.84,15.487231
13.17,12.905798
22.138578,22.999226
19.107162,19.28513
18.591118,19.664034
21.885307,22.865927
8.0,8.979312
6.9,7.2067013
8.903739,8.730156
20.617474,21.25414
20.3,20.015423
19.350294,19.646824
8.560009,8.443808
19.367,19.850828
17.881117,18.37189
14.620435,14.825296
17.55374,17.439043
10.4,9.594145
14.4,15.95735
19.25,17.782007
20.15,23.571184
15.9,14.780348
19.4,23.91847
21.0,20.299212
20.5,20.07952
7.5,7.6901693
20.9,19.948498
23.061428,21.56841
6.882143,6.9749594
6.9028573,6.3672085
20.9,20.325857
22.407858,23.065168
20.442142,20.280924
8.4375,8.302634
21.3,20.483614
20.381428,20.072042
18.0,17.32032
18.4,18.313105
18.492144,18.542442
7.0,9.592087
8.7,10.25176
11.8,14.374133
11.4,14.29603
13.1,16.175411
6.92,6.609008
14.432,15.40183
14.422,15.757062
10.801,11.28693
6.9,7.432926
14.221,15.888575
7.4738,7.91455
14.986,16.639908
14.875,15.966514
16.656,16.71715
6.929,7.023114
14.135,15.04148
14.67,15.174435
15.4,15.299739
14.522,14.852341
17.726,18.229332
11.1,13.102751
10.16,8.964986
10.65,10.340292
11.84,10.401824
11.06,11.280013
13.9,16.737482
19.3,23.200146
11.4,12.389025
7.1,7.8295975
13.4,14.082204
6.0,8.612455
16.3,17.147509
14.7,15.213942
7.9,6.9301157
14.6,14.896507
6.3,6.3914022
7.5,7.431074
13.2,13.901276
15.1,15.575939
14.8,13.684006
14.8,13.879199
13.3,14.044567
13.1,12.6004095
15.205,14.006529
14.03,13.42248
5.9,8.191875
4.51,5.7964783
17.79,21.862438
13.42,11.525608
11.74,11.487307
11.63,10.972937
11.57,11.2940035
12.35,11.414601
12.03,11.531244
3.9,3.755275
5.69,5.430173
12.81,11.117022
11.66,11.191917
11.3,9.597365
9.5,9.18292
11.2,10.477407
12.48,11.136038
5.68,5.040863
12.11,10.520327
11.3,9.943632
9.7,9.507677
5.7,5.6180143
10.82,11.055233
11.42,9.930409
9.8,10.021492
9.5,9.938924
10.06,10.330597
8.93,9.253176
17.5,20.223396
13.26,15.601126
12.285,13.668045
8.64,10.266674
13.275,16.794695
11.82,13.999155
5.77,7.877816
4.52,3.871361
13.25,13.616539
11.14,11.769696
12.65,12.426263
13.1,11.973309
14.27,14.808849
6.9,6.7289524
10.65,10.3019905
7.79,7.5820456
7.65,7.0243063
15.53,14.09082
6.89,6.8937225
9.37,9.515487
11.4,10.686096
7.37,7.9194746
7.6,7.3300304
7.52,7.2275524
6.87,6.261511
11.64,11.874934
19.9,23.399773
12.2,12.385094
8.0,11.343263
17.4,22.071486
8.7,8.646678
13.482,13.758593
18.913,18.80147
13.537,13.649332
7.517,7.867758
16.691,16.829866
6.386,6.6930647
15.3,15.492764
8.899,9.290546
16.413,16.6326
8.431,8.950125
12.981,12.828178
5.305,5.781762
5.258,5.6906233
23.4,8.504587
11.9,14.104261
22.3,27.73078
22.85,27.464968
17.98,19.797546
6.87,6.624366
5.27,5.294159
21.75357,22.026762
18.73,19.644556
5.847,5.511756
18.63,19.338621
6.54,7.0682726
14.89,16.052813
14.973,15.839756
10.408,10.087398
8.966,8.923809
13.65,13.988653
9.78,9.740234
9.1,10.44696
23.4,26.21738
23.25,26.346771
22.85,26.25678
12.35,14.654455
9.8,12.437222
24.4,29.325764
11.8,13.749178
24.3,28.88473
11.2,14.015074
23.9,28.935913
11.9,14.14551
23.05,28.061605
7.25,6.336751
5.2,4.9875565
23.1,22.58235
20.8,20.611362
23.1,22.66728
23.4,22.674826
22.3,21.29151
21.6,21.154829
21.0,21.783243
22.8,23.743443
21.5,21.58148
23.7,24.095152
5.65,5.65851
22.7,23.691181
6.67,6.3774977
22.0,22.400175
16.7,17.750153
9.0,10.422045
20.4,22.29471
11.45,14.649715
21.6,23.67554
8.12,8.835279
19.51,20.976233
13.875,17.921865
19.75,27.12454
8.5,9.550292
13.25,16.461027
9.8,9.718776
11.65,11.882496
11.8,12.143669
6.3,6.7807045
10.0,9.601189
13.0,13.140293
13.04,15.846047
9.59,9.957364
6.82,8.682548
6.48,8.429701
11.715,12.853911
22.1,21.492247
11.97,12.073705
13.19,12.327799
4.02,4.2981167
10.51,10.896413
11.0,11.714331
10.64,10.6304245
13.13,13.208063
11.36,10.37371
13.57,13.642822
11.65,10.681003
11.56,10.351019
9.39,9.326551
8.81,8.955408
3.76,4.0438156
11.34,11.10576
11.85,10.521689
9.9,9.226505
20.0,23.810572
5.9,6.2419443
6.1,5.730259
17.54,18.498028
19.675,17.774206
9.19,9.12863
11.76,10.46432
14.55,13.149626
10.86,11.429452
18.975,19.539757
20.75,21.429123
20.0,20.395353
10.9,10.819851
10.2,9.6827545
20.55,20.653427
23.3,23.24941
10.9,10.395597
21.25,21.2389
11.1,11.822085
21.4,22.375532
12.3,11.567486
9.56,8.665902
21.8,21.32306
12.49,11.707765
11.885,10.786383
27.3,24.426426
27.45,25.283415
13.21,12.239417
18.16,14.491379
14.95,13.181696
17.9,16.980375
20.1,20.05316
20.4,21.528257
5.38,5.4650583
6.53,5.894559
20.2,17.233309
14.13,14.144392
14.02,12.984441
4.93,4.9500303
23.0,22.474539
6.37,5.7189655
24.7,24.818422
24.0,24.66043
14.55,12.91415
9.84,9.314623
21.1,19.702198
12.045,13.695847
7.01,8.222501
19.73,20.37049
22.0,25.572292
7.57,8.048207
11.35,13.89967
20.3,24.165308
22.75,26.08053
8.075,10.095244
8.21,10.4723215
23.5,22.972319
6.8,6.719468
29.45,26.39735
5.63,6.77291
13.67,13.785938
10.72,11.2267885
10.52,10.760123
10.04,10.432732
14.55,13.85684
6.07,5.985449
10.2,11.471958
10.66,9.874219
12.545,13.404437
7.3,7.686633
9.07,9.422461
8.18,8.5422535
9.23,9.179705
6.64,6.8283024
19.85,21.54786
6.25,6.904829
7.23,7.5294847
5.86,6.066334
11.97,10.626835
13.41,13.906994
24.85,21.280088
11.68,12.498456
24.45,21.959475
10.92,10.515313
13.5,12.049276
10.37,9.0121565
13.915,12.644297
31.8,28.27423
18.895,17.072243
10.1,11.561414
9.62,9.114441
11.05,13.092133
18.705,21.352945
11.785,12.137027
11.39,11.819372
11.475,11.420481
26.75,27.60416
27.265,27.579988
13.69,13.860849
8.9,9.307352
27.6,25.17602
7.2,7.348439
25.3,25.665905
27.5,26.596779
25.6,25.184332
7.15,8.163315
11.96,12.067201
12.765,13.606123
6.03,5.615093
5.43,4.9536886
27.6,28.145123
26.4,26.299646
26.7,27.950197
13.24,12.562422
15.7,17.287584
6.65,7.6528378
26.345,26.908274
12.65,13.163393
9.25,10.907278
26.985,27.397127
12.78,14.754784
24.66,24.496061
