Actual,Predicted
13.32,13.8260565
10.17,10.501727
11.56,12.173511
6.02,6.6563454
9.78,9.645605
10.95,10.590336
8.58,8.27912
5.88,5.9578724
12.8,12.25828
6.12,6.284788
8.93,8.889402
14.84,16.062902
8.81,9.019315
17.5,18.248549
15.76,17.138716
11.21,10.342422
8.06,7.892667
23.3,22.879211
21.7,21.83649
18.44,18.458767
11.4,12.155653
9.72,10.41427
12.5,13.396789
6.33,6.873616
12.2,12.427625
6.28,6.445765
8.21,8.511376
6.65,6.9426374
13.9,14.566655
4.2,4.02641
5.78,5.7078857
9.22,9.55429
7.54,8.039593
6.27,6.8392944
19.5,20.946264
5.31,5.540513
16.2,17.508282
16.43,17.76403
15.4,16.604996
21.7,21.965582
24.0,24.060066
9.7,9.249796
20.6,20.530413
16.87,16.543163
6.91,6.520506
7.1,7.1652737
6.87,7.1468487
7.34,6.3544793
9.43,9.494723
9.65,9.861657
9.37,9.413055
7.36,7.239793
7.83,7.7240705
16.83,17.562752
18.0,18.401937
5.91,5.7062545
5.81,5.570022
5.83,5.9356704
5.7,5.6833925
19.47,20.819862
4.3,3.9382148
11.04,11.197959
11.51,11.67498
24.6,24.667377
18.39,17.601902
20.5,20.464472
18.6,17.76184
18.69,19.269373
13.08,13.516505
12.87,13.560392
12.01,10.558105
20.2,19.121397
4.22,3.8405871
8.81,9.119792
4.81,4.530058
8.8522,9.067958
3.98,4.0221443
9.34,8.862472
20.9,20.432348
6.82,7.362895
9.26,9.810955
8.63,8.848684
23.3,23.728554
8.56,8.300825
22.0,23.10154
10.96,11.570987
4.11,4.419402
4.55,4.834627
22.6,22.228155
6.98,7.3070803
16.6,16.365948
3.9876,4.3245363
15.39,16.511225
16.15,16.725332
19.17,19.861376
17.86,19.662043
18.38,19.921522
7.74,8.323814
12.25,11.895666
10.21,11.3971815
8.07,7.669661
6.87,9.005036
17.72,17.093283
18.09,17.666945
16.7,15.878776
17.88,17.346527
10.13,10.389405
17.8,17.54119
17.1,16.705078
14.84,15.171114
13.06,13.660195
5.0,6.9188194
5.21,5.138631
5.22,6.132599
8.231,9.313157
5.18,5.9798
18.02,20.07734
20.8,22.9955
8.23,8.769763
18.33,19.107492
21.0,22.576582
15.64,16.686127
23.0,23.880056
8.54,9.446825
8.43,8.296351
20.9,21.396303
24.2,22.711506
22.3,21.037035
23.1,21.337986
22.5,22.79298
