Actual,Predicted
12.3,14.016048
12.2,13.559665
15.1,15.572308
6.1,5.1012883
10.3,10.785492
1.1,2.1308064
12.9,13.869772
10.3,10.207275
12.6,12.427918
26.9,26.025562
10.97,11.0528965
15.65,15.187262
19.67,19.24005
23.5,22.738573
20.4,19.797491
10.15,11.472823
20.39,20.39786
23.2,22.8929
23.6,24.568665
8.74,8.2361145
16.82,16.20065
7.87,7.497839
16.32,15.655077
4.21,3.4596262
5.88,5.569654
4.36,3.6306581
8.76,8.634169
10.82,9.327061
8.92,8.370833
9.11,8.651433
7.08,7.035631
11.74,11.166404
11.54,11.564499
16.71,16.238235
18.78,18.607285
8.45,8.723506
11.0,12.447535
27.3,29.040869
22.9,24.37897
21.4,22.578077
14.84,15.657293
9.07,9.362176
13.25,15.450526
13.22,14.471792
14.46,14.562438
17.03,17.473627
13.8,15.312729
6.16,7.429068
10.19,10.529841
14.13,16.08881
28.0,27.29901
4.47,4.3924394
6.62,6.746671
18.96,20.23795
20.11,19.02907
9.7,12.487665
20.4,20.297365
18.99,20.434011
4.55,4.3403807
6.89,7.75952
10.58,10.396978
10.54,10.755338
15.37,16.451214
9.35,8.8187275
21.9,21.502352
14.2,13.787813
15.55,17.018469
7.6,8.698447
24.7,25.86285
26.6,25.845476
26.2,25.35113
10.1,9.928181
18.44,19.20437
17.14,16.929644
15.39,16.026873
17.32,17.28282
1.11,3.1168838
16.22,15.824112
18.48,19.153276
10.73,10.613205
15.5,17.827194
22.8,22.697958
26.5,26.198586
11.53,12.857811
23.1,26.439968
21.3,20.338438
11.3,11.102963
23.4,25.289986
15.84,15.092466
9.6,17.584734
22.4,24.527657
29.7,29.606962
35.4,29.027548
11.87,11.353619
8.1,11.608834
14.7,14.789391
22.2,21.866701
16.3,16.603863
21.0,21.736021
18.85,20.277872
16.4,17.021578
7.26,8.338714
8.56,8.865815
4.65,4.729461
4.72,5.4603367
6.92,7.599282
10.4,11.011866
28.1,27.919867
19.8,20.708088
19.7,21.191763
6.0,5.1486006
19.1,20.766712
1.4,2.0221179
20.1,22.16671
20.1,21.455912
19.9,21.638943
19.8,20.30522
8.0,8.515317
15.49,15.623281
26.9,29.146479
22.8,24.903973
12.37,13.434265
23.3,26.314379
25.8,26.017122
11.2,12.235909
22.5,22.248917
28.7,28.301512
17.2,17.591238
21.8,20.975172
7.2,8.796232
19.21,20.69594
8.9,9.300542
11.2,12.454849
14.76,15.15848
9.53,9.498642
21.4,21.765842
19.0,20.214014
19.11,20.47734
7.27,8.036042
20.71,21.884256
5.96,6.236748
21.2,22.730068
13.43,13.323154
16.94,18.162308
5.63,5.9993267
7.82,9.108516
15.57,16.53434
20.7,21.729343
24.4,24.784796
22.4,24.189135
1.272,2.7967997
20.8,21.150326
19.17,19.439152
21.2,22.428263
22.8,24.776808
19.73,23.566835
10.37,11.980953
23.4,25.832727
12.68,14.68218
11.4,11.133932
29.3,27.636671
19.5,20.190943
7.2,8.110991
6.8,6.8063273
20.0,19.707027
19.3,19.577782
19.35,18.678675
17.32,18.93144
5.0,5.1825614
16.9,17.64228
16.0,17.026232
16.7,17.780994
5.1,5.1366086
12.0,12.891439
19.2,18.3467
8.9,9.555619
10.7,10.760406
19.46,19.037813
9.5,9.805613
26.3,24.770931
15.6,15.807432
18.8,18.903265
15.24,18.06397
20.1,24.827997
25.1,30.657713
19.37,19.061047
1.684,3.4537306
19.61,18.94452
14.5,15.013788
8.6,9.441421
9.4,9.598388
21.2,21.892664
29.8,27.091692
21.1,22.433764
13.01,14.418512
17.58,18.682077
10.25,9.6456995
18.5,19.517712
19.73,20.898155
6.25,6.3771853
17.83,19.793242
17.54,18.444374
17.8,18.917513
17.9,19.574842
6.63,6.42036
18.1,18.054537
18.7,19.104753
18.7,20.105774
22.5,22.439676
12.5,12.681044
23.6,22.58837
1.313,4.8258023
20.4,20.737
20.2,20.36296
21.0,21.283276
22.6,21.776947
21.7,21.516418
20.8,20.57885
20.1,20.144024
14.85,14.917866
21.3,21.811695
22.3,23.3309
15.52,14.462689
9.42,8.7305565
20.73,20.490547
8.85,8.130004
