Actual,Predicted
19.6,17.530905
8.5,9.773436
21.68,19.785501
18.33,18.8803
13.1,14.909101
15.4,14.513062
14.76,13.397002
18.12,17.94896
16.21,16.908495
12.14,11.801229
19.0,19.883545
7.671,8.148238
16.78,17.142708
14.6,14.422484
16.92,17.535702
17.11,16.205822
8.53,12.145482
11.23,9.013849
9.15,9.09172
6.08,6.489083
6.82,8.029943
5.9,8.399978
10.8,11.337777
9.64,10.117097
13.37,10.738282
23.4,25.79809
7.82,9.302173
18.2,18.700571
20.3,19.877525
18.1,17.645905
23.8,18.34475
20.9,19.054781
21.13,20.883686
24.1,24.351099
13.1,12.593594
17.0,18.114017
22.4,17.11343
22.7,22.526217
19.13,19.378365
26.5,24.621914
22.66,23.091858
22.2,20.439083
19.23,18.628548
6.9,7.2723794
4.01,3.8182008
5.847,5.0548496
5.0,5.1951427
8.5,7.3594503
4.5,4.8343797
4.95,4.7360606
6.12,5.7971
3.95,3.701282
4.29,4.644109
3.98,4.9143095
3.84,3.6283405
9.918,9.726523
4.16,3.996087
17.7,16.286324
19.0,18.540611
11.7,11.924215
11.6,12.173301
14.2,14.946448
29.8,26.95128
11.3,10.261767
22.7,22.45684
10.22,9.944289
21.4,21.627079
16.7,16.872974
7.14,7.5471935
8.93,8.600825
10.1,9.80789
10.22,11.328313
11.35,10.346176
9.6,9.739062
9.46,8.804887
8.2,7.579298
13.85,12.440455
13.84,12.237796
11.3,10.655462
9.21,9.368497
8.3,8.50466
10.63,10.392821
15.43,13.607899
12.85,11.476912
18.21,17.034866
8.47,8.938801
11.3,11.903653
9.53,9.888991
11.4,12.20315
11.23,11.310676
7.6,8.116227
10.446,10.285392
10.57,10.591346
10.92,10.251502
9.08,8.971768
10.25,8.839488
7.96,8.531643
10.34,9.570548
10.55,10.212114
8.43,8.723871
8.22,7.337975
8.7,8.079142
9.29,8.723393
9.58,9.356802
10.4,9.501692
20.381,19.531652
12.59,11.829661
17.98,18.66407
13.24,12.990047
20.2,18.672726
19.17,18.588272
14.6,14.553383
13.25,13.75484
17.902,17.298008
17.87,17.318535
18.44,17.205889
12.49,13.826714
19.85,18.214956
19.65,19.424662
17.98,18.7416
16.44,14.608323
21.2,19.538544
6.977,6.70006
18.3,17.795616
14.1,14.412144
18.8,17.661907
16.9,17.041916
18.197,17.869473
18.5,17.977798
17.5,17.491394
8.54,8.3637705
20.5,17.917547
7.1,6.363431
3.73,3.876225
4.9,5.1400785
6.26,5.631317
5.84,5.9241047
3.71,3.8556573
5.13,5.323162
6.98,6.8853674
5.5,5.650552
4.01,4.676009
5.47,6.572667
5.94,5.3761272
4.4,4.210331
6.95,7.4535503
6.75,6.504505
4.8,4.3082056
22.7,23.07062
21.6,21.166729
22.9,22.603815
8.9,9.585928
16.94,16.703283
11.6,13.122868
8.4,7.8914385
7.36,7.07251
9.64,8.990512
14.361,14.661103
10.6,9.417041
9.1,10.15709
9.13,8.688211
17.6,16.789913
8.2,8.844398
16.32,15.240523
7.5,7.3373175
8.92,8.411908
7.5,6.9432373
8.7,9.05152
8.9,8.978986
10.07,10.647773
11.8,11.77192
12.9,7.188163
13.28,12.897285
17.8,18.254278
13.21,13.482774
8.71,8.683936
8.81,8.212747
8.9,8.909085
21.3,20.606579
25.2,25.606405
24.6,24.950024
22.6,21.761003
21.8,20.728554
13.51,15.067849
13.5,12.2253895
11.735,10.640685
10.88,10.373574
5.63,6.2134066
10.0,9.555778
12.09,11.068006
8.0,8.746263
13.37,12.734093
14.84,15.193526
17.26,14.623498
6.11,6.769512
7.35,8.07795
15.99,14.302951
7.15,8.178001
9.08,8.525101
10.16,8.373052
13.67,13.217969
20.9,20.038746
11.57,11.4243
12.285,13.100081
19.675,17.093706
18.705,20.348946
16.57,17.726925
12.5,11.565947
5.86,6.5681977
21.6,19.784622
20.8,21.754042
18.78,18.192194
17.09,15.679866
17.25,16.897259
18.63,18.183323
10.07,9.674056
18.2,18.24636
16.1,16.725155
19.66,17.636292
13.6,12.850049
14.86,13.178859
18.61,17.925077
16.3,15.810682
20.0,17.526035
12.62,12.140492
15.81,15.213597
11.5,11.511241
18.6,16.884758
19.3,18.022612
16.3,16.973228
20.88,21.710869
20.9,19.937874
12.65,13.694986
16.83,16.86006
21.4,21.413147
11.09,9.938169
15.5,14.921322
14.2,13.168262
12.7,12.905461
10.8,10.863643
17.7,16.806736
13.3,13.4160185
7.8,7.3324475
20.8,20.954533
11.0,11.621932
11.6,10.998657
20.9,18.554237
13.1,12.980491
12.1,11.960488
11.85,12.488738
17.7,16.768562
15.9,16.421774
13.4,13.653808
8.73,8.723177
7.41,6.6310844
13.49,13.459598
7.05,7.0847635
9.2,9.417959
6.1,6.250948
8.11,8.577545
9.6,8.363554
9.4,9.697591
9.9,10.680369
9.3,9.687217
9.31,9.328194
10.4,9.842706
5.2,5.011183
9.38,8.977537
9.06,8.794839
9.45,9.979377
6.1,6.3875885
13.254,13.022732
6.65,6.740932
15.03,14.617391
8.39,8.537794
8.76,8.316525
21.2,20.060482
10.02,10.01202
15.32,14.010661
8.998,7.9560685
11.71,11.414203
12.22,11.768388
16.6,15.086892
9.95,8.83407
11.5,11.25533
14.7,14.775537
16.71,14.553023
14.84,15.489393
14.36,13.66718
20.2,18.406208
16.88,15.395328
16.4,14.773456
23.31,21.876526
19.2,17.604862
22.58,20.260254
18.553,17.823503
15.68,15.637343
19.78,19.240192
19.5,19.734295
20.8,21.029564
21.9,19.74025
24.66,23.687721
24.06,23.1502
24.6,23.471395
21.4,21.751762
24.61,24.673416
