Actual,Predicted
12.3,14.229038
12.2,13.357208
15.1,15.216827
6.1,4.8111506
10.3,10.652222
1.1,3.7021792
12.9,13.381372
10.3,10.498806
12.6,12.428108
26.9,25.338446
10.97,11.152828
15.65,15.151026
19.67,19.27454
23.5,23.34422
20.4,19.978539
10.15,10.958233
20.39,20.105284
23.2,22.702888
23.6,24.027771
8.74,8.710016
16.82,15.804348
7.87,7.662159
16.32,15.349119
4.21,4.0242424
5.88,5.0545726
4.36,4.0797625
8.76,9.492286
10.82,9.962925
8.92,8.92569
9.11,8.931638
7.08,6.6300993
11.74,11.155384
11.54,11.576569
16.71,15.9648285
18.78,18.42357
8.45,9.044366
11.0,11.516178
27.3,28.046972
22.9,24.043703
21.4,22.538176
14.84,16.172644
9.07,9.683383
13.25,15.755285
13.22,14.602083
14.46,14.294249
17.03,17.140436
13.8,15.24847
6.16,7.6288247
10.19,10.43557
14.13,16.366829
28.0,26.53164
4.47,4.2579308
6.62,5.874423
18.96,19.44553
20.11,18.816435
9.7,11.944369
20.4,19.64608
18.99,19.629953
4.55,4.1938505
6.89,7.489483
10.58,10.835308
10.54,10.707817
15.37,16.167263
9.35,9.056936
21.9,21.371767
14.2,13.489588
15.55,16.552067
7.6,8.704042
24.7,25.649126
26.6,25.58272
26.2,25.073977
10.1,10.557299
18.44,19.354229
17.14,17.024824
15.39,15.664713
17.32,17.437798
1.11,3.8670325
16.22,15.99342
18.48,19.104221
10.73,10.130453
15.5,17.39889
22.8,22.213976
26.5,25.848501
11.53,12.64819
23.1,26.100403
21.3,20.13311
11.3,10.999395
23.4,24.935236
15.84,15.59206
9.6,17.347527
22.4,24.164701
29.7,28.964457
35.4,28.589376
11.87,12.010207
8.1,11.578085
14.7,14.452576
22.2,21.697304
16.3,16.398054
21.0,20.846539
18.85,19.541412
16.4,16.87946
7.26,7.831171
8.56,9.019882
4.65,4.4714155
4.72,4.763672
6.92,7.390741
10.4,11.677089
28.1,27.652025
19.8,20.62672
19.7,20.71982
6.0,5.076639
19.1,20.048058
1.4,3.6274664
20.1,21.761343
20.1,21.185417
19.9,20.93501
19.8,20.223854
8.0,8.867375
15.49,15.940737
26.9,28.289452
22.8,24.433756
12.37,12.953519
23.3,25.328733
25.8,25.78908
11.2,11.969848
22.5,21.985762
28.7,27.561377
17.2,17.134764
21.8,20.595768
7.2,8.812389
19.21,19.961376
8.9,9.406638
11.2,12.1352825
14.76,14.939194
9.53,9.5294285
21.4,21.063711
19.0,19.461752
19.11,19.832249
7.27,6.7665033
20.71,20.941853
5.96,5.316088
21.2,21.812363
13.43,13.538837
16.94,17.595669
5.63,5.0733433
7.82,8.565054
15.57,16.496002
20.7,21.114754
24.4,24.81676
22.4,23.438576
1.272,3.5943656
20.8,21.110676
19.17,19.57107
21.2,21.935246
22.8,24.309847
19.73,23.309862
10.37,12.571957
23.4,25.055136
12.68,14.363764
11.4,11.202013
29.3,27.110579
19.5,19.410265
7.2,7.7311664
6.8,6.008559
20.0,18.93274
19.3,18.942007
19.35,18.227407
17.32,18.22389
5.0,4.632625
16.9,17.36614
16.0,16.891058
16.7,17.52446
5.1,4.7287865
12.0,12.534463
19.2,18.266685
8.9,9.419472
10.7,10.82254
19.46,18.396008
9.5,9.8165
26.3,24.565657
15.6,15.851967
18.8,18.786852
15.24,17.48307
20.1,24.144535
25.1,29.675934
19.37,18.564028
1.684,4.0315943
19.61,18.904814
14.5,15.063627
8.6,8.967688
9.4,9.5784855
21.2,21.569214
29.8,26.846645
21.1,22.241444
13.01,14.273685
17.58,18.41969
10.25,9.678003
18.5,19.011301
19.73,20.390959
6.25,5.609851
17.83,19.067575
17.54,18.231825
17.8,18.585445
17.9,19.105608
6.63,6.2744308
18.1,17.878454
18.7,18.691156
18.7,19.731855
22.5,22.148962
12.5,12.80472
23.6,21.936554
1.313,4.4738293
20.4,20.009401
20.2,19.90748
21.0,20.807613
22.6,21.076744
21.7,21.078688
20.8,20.157446
20.1,19.732187
14.85,14.634108
21.3,21.435957
22.3,22.945753
15.52,14.617142
9.42,9.302617
20.73,20.71756
8.85,8.410593
5.39,5.053634
28.2,28.243113
5.47,5.288367
5.07,4.610067
15.09,14.165421
17.3,16.990261
11.45,10.601778
18.2,18.8737
18.95,18.60138
22.3,21.056541
17.47,17.879005
25.1,23.923628
13.25,12.897766
19.56,18.799505
18.56,18.51952
18.12,18.300762
15.12,15.031963
18.68,17.899225
18.35,16.931988
14.66,14.994228
7.04,6.951685
13.51,15.558458
16.25,16.46389
14.58,14.914272
4.46,4.239851
8.63,9.535105
20.2,19.825462
14.82,14.366169
10.49,13.044392
14.01,14.512878
13.05,12.881367
20.8,20.060797
16.9,15.346256
10.2,10.981417
15.1,15.539385
15.12,15.638802
13.8,14.904293
5.15,4.3518734
4.63,4.1940513
5.0,4.31436
9.22,9.433892
14.05,14.924875
13.21,14.120485
11.79,12.35662
12.93,12.967689
12.78,13.134592
16.2,16.74684
13.5,12.354467
13.2,12.747578
18.6,17.315632
10.46,11.343828
12.2,11.655195
16.67,16.151217
7.48,8.219009
10.38,10.915361
11.81,12.753386
11.68,11.609488
1.401,3.7660773
10.6,11.618328
10.43,11.193247
10.66,11.418041
6.46,7.0867
7.8,8.241623
10.49,11.202432
15.4,13.436996
16.2,15.393402
8.2,8.511255
10.1,9.18977
10.89,11.753268
11.6,12.255987
10.3,10.925336
10.25,10.296896
10.08,11.026854
12.5,13.20742
11.55,12.601713
3.95,4.0394783
10.49,11.015109
4.25,3.9586656
13.57,14.729532
4.85,4.1155815
11.51,11.808004
10.68,10.634498
10.9,11.900064
9.1,10.807171
14.25,15.665108
9.56,10.648813
16.0,15.511475
6.25,7.4068136
7.82,9.800201
15.0,13.853102
10.5,10.278671
17.4,17.182802
11.0,11.7568245
17.3,16.727255
23.0,21.481884
4.01,4.1721525
10.54,11.042907
8.8,9.771691
3.98,4.031594
4.12,4.028597
8.46,9.566902
8.63,9.635837
8.25,8.555796
9.39,10.552612
9.2,9.618152
8.32,8.010846
7.87,8.686871
8.96,10.098549
16.81,16.632175
15.53,16.948841
13.79,14.070236
7.19,8.930213
10.82,11.37733
19.87,19.503437
11.41,11.284796
10.43,10.731394
1.057,3.5588024
9.32,10.274414
9.23,10.020798
9.43,10.349064
8.9,9.418378
14.37,13.675089
15.8,14.009365
19.5,20.198448
17.7,16.745388
10.5,10.73863
26.0,23.139542
16.7,14.452999
8.86,9.7725115
10.32,11.031578
9.1,10.039827
6.93,7.72458
13.78,14.975819
13.32,13.968346
6.0,5.8030443
10.17,10.710957
11.56,12.253153
6.2,5.376162
6.12,6.0287285
10.95,10.268604
5.88,5.520202
14.84,16.04481
9.78,9.964819
8.93,9.503254
8.58,8.766027
12.8,12.4871025
6.02,6.016434
8.81,9.374691
15.76,16.384657
17.5,17.442253
13.42,14.746254
9.37,10.335789
12.58,13.054787
14.52,14.518404
11.12,11.10187
24.3,21.74912
10.2,11.025013
18.3,22.655943
8.06,8.306351
23.5,25.863054
5.0,14.150745
21.7,22.356972
19.8,20.321785
20.0,20.392483
11.21,10.989395
23.3,23.331432
18.44,18.760614
23.0,24.354761
12.5,11.682428
27.4,26.3003
12.5,13.610516
8.21,8.876755
12.2,12.738149
11.4,11.839939
6.33,6.520082
9.72,10.653759
6.28,5.7704206
9.22,9.818974
4.2,4.156539
7.54,8.38318
13.9,14.411333
6.27,5.916194
5.78,5.2813845
5.31,5.088654
19.5,20.617989
6.65,6.871445
15.4,16.418093
16.43,17.62857
16.2,17.324097
11.03,12.970333
13.97,14.773045
1.133,3.7262774
9.28,10.35841
6.29,5.7551246
12.21,13.33456
11.88,12.848787
24.0,23.417776
20.6,21.625021
9.7,9.891569
21.7,23.167728
9.8,13.404913
16.4,17.741879
20.0,21.014715
6.91,6.0735335
7.34,6.1195593
16.87,16.396791
6.87,6.929095
7.1,7.087123
9.65,10.176004
9.37,9.18952
7.36,7.366875
7.83,7.9014835
9.43,9.810247
18.0,18.068707
16.83,17.485247
19.47,20.572283
5.83,4.9342933
5.91,5.229638
5.81,5.081156
5.7,5.058514
26.4,25.649252
23.1,22.916262
6.0,12.232722
4.3,4.098094
20.3,21.02955
11.8,18.130497
28.0,25.125883
11.04,11.481329
11.51,12.260399
18.39,18.070496
20.5,21.078104
24.6,25.216688
21.3,22.30481
13.17,15.568657
9.41,12.61795
8.38,12.243694
12.51,15.447302
15.76,15.904507
2.3,3.827834
14.03,15.898083
12.19,14.378765
8.7,11.337719
10.6,12.229839
12.01,13.321922
25.2,24.334715
38.0,22.412462
31.1,19.908295
13.4,13.292095
7.2,9.316677
26.0,25.604687
31.1,19.908295
23.8,25.261656
18.6,17.44855
18.69,18.872627
12.01,10.4622345
20.2,18.789053
12.87,13.42785
13.08,13.313786
4.22,3.9984965
9.26,9.847046
9.34,9.537209
8.81,9.030141
6.82,6.9726458
8.63,9.109294
4.81,4.037936
20.9,20.074678
8.852,9.319387
28.5,26.589645
3.98,4.019528
15.39,14.875423
15.56,15.386208
14.05,13.505964
14.58,13.750088
9.17,9.653387
0.991,3.7000551
14.6,14.976622
14.8,14.740391
14.46,14.551134
12.22,11.273526
8.56,8.15275
22.0,23.237274
26.9,28.586248
10.96,11.53054
25.6,25.743446
23.3,24.1042
29.1,21.92196
22.5,21.38518
10.9,11.2023945
15.3,14.635391
4.55,4.180625
4.11,4.0895076
3.988,4.1206584
16.6,15.207819
6.98,7.418043
22.6,21.617243
19.17,19.377226
17.86,19.520037
16.15,16.189789
15.39,16.204428
12.25,11.379124
18.38,19.75629
7.74,8.305134
10.21,11.633949
4.8,4.8323417
19.7,19.44892
8.07,7.8430905
6.87,7.7208595
15.4,14.986689
17.88,17.153015
17.8,17.445475
1.251,3.516675
18.09,17.404228
17.1,16.880299
10.13,10.756636
16.7,15.811249
17.72,17.08133
5.0,6.175583
13.06,13.087416
14.84,15.420507
20.6,19.901003
5.21,4.358065
5.22,4.5832877
20.8,22.313616
