Actual,Predicted
4.2,4.3166494
5.78,5.7967114
9.22,9.759951
7.54,8.144872
6.27,6.8755875
19.5,21.196545
5.31,5.810146
16.2,17.539114
16.43,17.809946
15.4,16.584333
21.7,21.549826
24.0,22.722652
9.7,9.786814
20.6,20.986898
16.87,16.467842
6.91,6.782479
7.1,6.952151
6.87,7.084839
7.34,6.387613
9.43,9.392162
9.65,9.881208
9.37,9.346423
7.36,7.379359
7.83,7.4970713
16.83,17.557615
18.0,18.640184
5.91,5.877389
5.81,5.5591054
5.83,5.7208104
5.7,5.5588307
19.47,20.824228
4.3,4.3246436
11.04,11.011096
11.51,11.9872
24.6,23.323814
18.39,17.616018
20.5,20.287247
18.6,18.134064
18.69,19.168068
13.08,13.935175
12.87,14.101026
12.01,10.497242
20.2,19.171408
4.22,4.2781787
8.81,8.705149
4.81,4.771787
8.8522,8.78673
3.98,4.430431
9.34,8.968532
20.9,20.37894
6.82,7.1776195
9.26,9.691271
8.63,8.870084
23.3,23.997656
8.56,8.058695
22.0,23.088911
10.96,11.420701
4.11,4.7207513
4.55,4.9841266
22.6,22.30455
6.98,7.7517037
16.6,16.62488
3.9876,4.778159
15.39,16.441858
16.15,16.616577
19.17,20.012043
17.86,19.749914
18.38,20.171045
7.74,8.187326
12.25,11.811342
10.21,10.90581
8.07,7.834197
6.87,8.045305
17.72,16.811388
18.09,17.381807
16.7,15.779915
17.88,17.241507
10.13,10.396678
17.8,18.29069
17.1,17.488716
14.84,15.1349325
13.06,13.671132
5.0,6.505091
5.21,5.090053
5.22,6.0962024
8.231,9.582806
5.18,6.057923
18.02,19.858149
20.8,22.79426
8.23,8.990163
18.33,19.398987
21.0,22.967386
15.64,16.918497
23.0,24.228212
8.54,9.656276
8.43,8.301808
20.9,21.553286
24.2,22.833529
22.3,21.305872
23.1,21.707094
22.5,23.207235
22.0,21.613424
23.0,22.46266
10.46,10.18791
23.5,25.537487
25.3,26.931265
10.71,11.5856905
14.21,15.560555
12.45,13.349286
19.82,19.457815
18.87,19.317575
18.88,19.744652
12.7,12.796743
18.81,19.964405
36.8,27.278307
18.32,17.789972
20.7,18.610603
6.5,17.664322
9.28,9.742192
17.0,18.658628
15.6,6.2699947
7.72,8.500366
7.33,7.6150103
6.3,6.65032
8.0,17.158215
21.6,20.556458
5.57,5.8105683
4.941,5.0333505
26.0,22.277811
13.49,11.783417
28.2,32.152405
12.62,14.330876
23.2,28.134205
8.22,7.129872
9.1,15.822697
30.5,26.359638
33.4,15.745623
23.7,22.727
19.0,22.363409
15.2,17.092571
18.96,20.45559
19.75,20.313643
19.51,20.742409
19.66,19.847765
16.51,17.54237
19.68,21.084871
17.7,17.932196
7.01,8.092982
21.3,22.632113
6.97,7.14445
7.88,7.6464562
7.88,8.062281
13.23,13.430513
19.37,20.621248
20.7,22.271032
16.7,13.692581
15.81,16.716045
15.7,15.289466
15.64,16.793314
4.34,4.5840716
15.03,15.463715
6.88,6.5683446
4.47,4.7390466
14.45,16.120365
5.0,5.039278
13.84,14.066309
14.42,14.298119
14.1,14.249628
16.06,17.606697
15.57,17.623287
18.78,19.578009
14.13,15.241
7.55,8.649037
12.53,11.728472
14.73,16.095957
7.1,7.6626115
12.43,12.501897
11.1,14.090047
16.7,14.21133
12.7,14.900914
14.5,18.476015
6.4,10.321988
16.7,18.613497
23.7,20.077528
8.03,8.871765
11.65,15.153417
5.98,7.5851455
6.58,7.871684
11.27,14.528765
7.47,9.07162
15.2,13.706652
13.6,12.188897
15.7,17.03732
9.53,10.42695
2.81,3.4736683
10.59,11.105114
11.26,11.903582
9.8,10.469183
10.03,10.845836
12.16,12.515583
17.5,8.92239
19.8,11.958103
13.6,13.168647
9.64,10.650812
10.17,10.346807
7.2,8.332713
11.57,12.648587
12.08,13.280291
14.42,15.709849
10.76,11.482127
12.56,13.702418
20.1,7.1618915
8.0,11.009033
14.4,13.28254
15.8,14.783947
15.7,18.528788
6.61,9.472841
18.22,23.023981
19.15,25.771173
9.53,10.554085
10.12,11.883479
9.49,11.069832
14.48,14.368727
3.28,3.6700394
11.73,12.88021
11.28,12.576718
9.29,8.628656
16.6,18.251093
11.0,7.8702993
17.0,11.8151045
11.2,5.7165465
11.2,7.982102
21.9,27.512888
23.0,12.746252
30.5,18.174458
11.23,10.847347
11.69,11.758081
20.9,23.092216
21.7,22.387218
14.41,14.636522
15.99,15.211138
11.42,11.296821
11.23,12.185344
25.9,26.441587
23.5,24.427082
26.3,25.930166
11.735,11.2021055
18.845,14.26395
27.65,27.232273
14.48,13.552035
27.05,30.97088
17.59,17.690056
17.453043,16.729216
17.805218,17.452883
6.313846,6.426105
18.553333,18.118563
14.007692,14.072385
9.931739,9.737591
10.446154,10.440098
13.6830435,13.439548
6.27,6.487642
8.327392,8.383754
8.443479,8.515781
9.303478,9.310627
4.5523076,4.5426145
4.230909,4.196792
28.3,26.880999
12.4,14.522024
22.5,22.785337
25.0,26.407824
11.24,12.247781
15.14,14.361541
13.37,13.383894
8.49,8.524331
10.481034,10.32314
8.907931,8.979254
19.87862,19.180708
16.262632,16.498877
19.513103,19.310896
4.878421,5.406764
22.632631,22.113848
19.923794,19.380966
15.701035,15.538385
6.5,7.794881
4.5864706,4.9423165
5.83,6.5502887
11.176316,10.92044
10.522414,10.111524
8.142069,7.993789
1.18,2.288669
6.11,6.0382752
12.96,14.600938
27.2,26.15649
11.62,11.518106
21.6,22.12676
26.1,25.904337
19.330435,18.787758
11.724615,11.803225
9.394615,9.274504
6.9703293,6.8153358
17.535652,17.276127
17.613077,17.83718
8.271739,8.222227
8.997826,8.514007
8.482609,8.192803
21.483076,21.508194
19.192173,18.528744
6.976842,7.171312
3.6,3.945106
7.025,6.2450147
11.229566,11.243834
12.600869,12.117577
9.4,12.409769
11.0,21.800287
23.1,23.202854
20.8,21.654963
1.7,3.765254
20.9,21.009077
14.32,15.596524
7.35,7.9026437
20.7,21.2951
23.8,26.807398
3.6,5.150588
9.012069,8.697903
4.8018184,4.82046
7.2254615,7.3631115
6.8236365,6.943378
10.628965,10.582554
20.091724,18.757858
18.691034,17.812809
9.209311,8.798009
5.9,6.1435843
5.6,6.314109
4.6746154,4.5533004
13.538965,12.902004
16.21,14.932421
23.7,25.04394
25.0,27.694973
10.0,14.227462
13.97,15.533863
21.6,25.83799
22.1,25.546358
10.73,12.400901
21.4,26.705315
20.3,21.49845
4.1,4.8813562
17.08739,16.931526
9.918347,9.87185
5.5,6.4480405
10.569565,9.883126
19.60923,19.853504
16.517391,16.028294
15.399131,16.136751
16.62,16.862015
17.33174,16.479282
5.5316315,6.265647
5.4511766,5.67325
7.432941,7.3260503
12.703077,12.687406
7.6711764,7.9258623
14.274736,14.368452
14.116087,14.062843
10.496957,10.156813
22.45,25.135584
9.88,11.496346
14.93,15.372887
18.0,24.421335
41.5,13.946796
28.3,22.52531
20.8,21.123135
19.82,23.789228
8.49,10.207234
26.45,30.138338
15.31,16.07166
28.5,21.330873
12.0,12.592285
14.6,15.045176
15.2,16.786608
9.47,9.823197
