Actual,Predicted
4.2,4.4631205
5.78,5.731102
9.22,9.67248
7.54,7.912175
6.27,6.4904766
19.5,20.9296
5.31,5.571931
16.2,17.34578
16.43,17.824018
15.4,16.634598
21.7,22.051388
24.0,23.897738
9.7,10.201828
20.6,21.039667
16.87,16.669394
6.91,6.6686316
7.1,6.9811573
6.87,6.9988565
7.34,6.4732533
9.43,9.5515785
9.65,9.999497
9.37,9.272888
7.36,7.713462
7.83,7.7373047
16.83,16.978804
18.0,17.897295
5.91,5.54698
5.81,5.28969
5.83,5.5759153
5.7,5.6092796
19.47,20.359758
4.3,4.133465
11.04,11.000035
11.51,12.1264515
24.6,23.607336
18.39,18.01213
20.5,20.748388
18.6,18.012777
18.69,19.119087
13.08,13.89885
12.87,14.056144
12.01,10.514177
20.2,19.345016
4.22,4.1022534
8.81,8.927984
4.81,4.68474
8.8522,9.186155
3.98,4.263731
9.34,9.085084
20.9,20.088575
6.82,7.250494
9.26,9.656326
8.63,8.987395
23.3,23.376228
8.56,7.935787
22.0,23.07473
10.96,11.357509
4.11,4.6076665
4.55,4.72797
22.6,21.939787
6.98,7.380327
16.6,16.462915
3.9876,4.628026
15.39,16.173275
16.15,16.495974
19.17,19.91232
17.86,19.406841
18.38,19.731522
7.74,8.1767025
12.25,11.755995
10.21,11.5443535
8.07,7.888873
6.87,7.7359457
17.72,16.63996
18.09,16.937126
16.7,15.302699
17.88,17.017797
10.13,10.304774
17.8,17.631907
17.1,16.719135
14.84,15.233639
13.06,13.692712
5.0,6.933237
5.21,5.1761
5.22,5.8075676
8.231,9.095682
5.18,5.796238
18.02,20.006134
20.8,22.996357
8.23,8.381433
18.33,18.759964
21.0,22.102922
15.64,16.560293
23.0,23.219336
8.54,9.539676
8.43,8.239208
20.9,21.045925
24.2,22.138222
22.3,20.797472
23.1,21.399979
22.5,22.803669
22.0,21.351995
23.0,22.41394
10.46,10.640517
23.5,25.738659
25.3,27.494698
10.71,11.317971
14.21,15.2903385
12.45,13.464049
19.82,19.357347
18.87,19.036583
18.88,19.361078
12.7,12.825887
18.81,19.635187
36.8,27.793173
18.32,17.46748
20.7,18.483236
6.5,17.530657
9.28,9.876207
17.0,18.593948
15.6,6.242365
7.72,8.483447
7.33,7.7880383
6.3,6.578413
8.0,16.837973
21.6,20.44326
5.57,5.3188267
4.941,5.080212
26.0,22.865944
13.49,12.13475
28.2,31.76548
12.62,14.079273
23.2,27.776178
8.22,6.8248215
9.1,15.41636
30.5,26.795034
33.4,14.988917
23.7,23.155443
19.0,22.122133
15.2,17.475
18.96,20.474495
19.75,20.317057
19.51,20.577871
19.66,19.842712
16.51,17.4442
19.68,20.97994
17.7,17.43644
7.01,8.027402
21.3,22.115776
6.97,6.9844627
7.88,7.612694
7.88,8.04659
13.23,13.483041
19.37,20.2146
20.7,21.932526
16.7,13.636326
15.81,16.493446
15.7,15.154156
15.64,16.821632
4.34,4.4214897
15.03,15.362122
6.88,6.3749733
4.47,4.9953804
14.45,15.657964
5.0,4.4089785
13.84,13.797745
14.42,14.187095
14.1,14.270058
16.06,17.473824
15.57,17.34845
18.78,19.965511
14.13,15.273538
7.55,8.24726
12.53,11.370787
14.73,15.741858
7.1,7.620142
12.43,12.262524
11.1,13.455895
16.7,13.510688
12.7,14.553838
14.5,19.461876
6.4,10.118769
16.7,20.202456
23.7,20.326958
8.03,8.844494
11.65,15.03445
5.98,7.6276197
6.58,7.786274
11.27,14.234919
7.47,8.986068
15.2,13.644682
13.6,11.779091
15.7,17.916058
