Actual,Predicted
9.11,9.044265
7.08,6.791161
11.74,11.219058
11.54,11.667477
16.71,16.004423
18.78,18.558659
8.45,8.870205
11.0,11.628728
27.3,25.517538
22.9,20.75829
21.4,21.358887
14.84,15.651529
9.07,9.73533
13.25,15.300631
13.22,13.757398
14.46,14.3779545
17.03,17.654352
13.8,14.874207
6.16,7.422025
10.19,10.59095
14.13,15.617958
28.0,25.380894
4.47,3.7444885
6.62,6.357449
18.96,20.160732
20.11,18.814194
9.7,11.555834
20.4,20.326199
18.99,20.507517
4.55,4.362935
6.89,7.4266124
10.58,11.030745
10.54,10.531452
15.37,16.228176
9.35,9.192333
21.9,22.070053
14.2,13.840807
15.55,16.510529
7.6,9.246045
24.7,26.441517
26.6,25.231659
26.2,25.0262
10.1,10.654347
18.44,19.145721
17.14,16.435429
15.39,15.735218
17.32,17.452084
1.11,3.0752025
16.22,16.21332
18.48,19.284498
10.73,10.348747
15.5,17.906004
22.8,23.57138
26.5,24.900927
11.53,13.151411
23.1,26.563469
21.3,20.664124
11.3,10.52474
23.4,24.258959
15.84,14.866829
9.6,18.20508
22.4,22.856348
29.7,28.761797
35.4,27.5122
11.87,11.760235
8.1,11.488854
14.7,14.754607
22.2,22.557655
16.3,16.415583
21.0,21.16584
18.85,20.483288
16.4,16.898907
7.26,7.9435887
8.56,9.136984
4.65,5.031469
4.72,5.2239285
6.92,7.164719
10.4,11.385572
28.1,27.4461
19.8,20.34012
19.7,21.291874
6.0,5.136742
19.1,21.405642
1.4,1.9924483
20.1,22.24045
20.1,20.656164
19.9,20.837156
19.8,20.961525
8.0,8.917857
15.49,15.874113
26.9,27.903248
22.8,23.690239
12.37,12.74182
23.3,25.789986
25.8,25.22194
11.2,11.376605
22.5,22.622791
28.7,28.011942
17.2,18.033314
21.8,20.531384
7.2,9.546113
19.21,20.651169
8.9,9.828957
11.2,11.757373
14.76,15.344506
9.53,9.188323
21.4,21.67559
19.0,20.038807
19.11,20.1686
7.27,8.10534
20.71,21.925522
5.96,5.8319
21.2,22.520905
13.43,12.690246
16.94,17.038713
5.63,6.100774
7.82,8.36859
15.57,16.87825
20.7,21.76242
24.4,24.436821
22.4,22.160284
1.272,2.1680737
20.8,21.699915
19.17,18.565186
21.2,22.682524
22.8,23.70303
19.73,22.868916
10.37,12.219672
23.4,24.909903
12.68,14.583503
11.4,11.587492
29.3,27.410309
19.5,20.152206
7.2,7.4935765
6.8,6.672671
20.0,19.542742
19.3,19.337255
19.35,18.67855
17.32,18.66362
5.0,5.117664
16.9,17.38704
16.0,19.065609
16.7,16.948706
5.1,4.5413527
12.0,12.447468
19.2,17.918804
8.9,9.00573
10.7,11.191324
19.46,18.837566
9.5,10.205608
26.3,24.884352
15.6,15.474941
18.8,18.995182
15.24,18.139221
20.1,23.687012
25.1,29.581602
19.37,19.172796
1.684,3.1787736
19.61,17.952196
14.5,14.381834
8.6,8.598109
9.4,9.80376
21.2,22.594757
29.8,27.08755
21.1,23.384235
13.01,13.895632
17.58,18.781168
10.25,9.203168
18.5,19.33408
19.73,20.711073
6.25,6.3734655
17.83,19.652752
17.54,18.44561
17.8,19.084995
17.9,19.367716
6.63,6.864147
18.1,17.674135
18.7,18.863966
18.7,19.062056
22.5,22.248278
12.5,12.007906
23.6,23.285334
1.313,4.872746
20.4,21.818628
20.2,19.572016
21.0,20.690178
22.6,22.250498
21.7,21.761925
20.8,20.06063
20.1,20.601685
14.85,15.195068
21.3,22.093975
22.3,23.829983
15.52,13.952822
9.42,9.2779
20.73,21.159714
8.85,8.386286
5.39,5.0730863
28.2,29.355371
5.47,6.775193
5.07,5.226259
15.09,16.037437
17.3,17.542768
11.45,10.238066
18.2,19.251835
18.95,18.851162
22.3,21.24898
17.47,17.994068
25.1,25.69898
13.25,12.608734
19.56,19.18193
18.56,18.991938
18.12,18.861332
15.12,15.498709
18.68,18.168335
18.35,16.76814
14.66,17.13105
7.04,7.085497
13.51,15.372549
16.25,16.40165
14.58,15.287593
4.46,3.9765573
8.63,9.099573
20.2,20.730175
14.82,14.592997
10.49,13.656798
14.01,14.2114525
13.05,13.255895
20.8,20.207798
16.9,14.233345
10.2,11.278984
15.1,15.876959
15.12,15.576056
13.8,14.738827
5.15,4.753142
