Actual,Predicted
9.11,8.877338
7.08,7.086603
11.74,11.238133
11.54,11.676969
16.71,16.518332
18.78,18.809118
8.45,8.9838085
11.0,11.729595
27.3,28.505907
22.9,24.187151
21.4,22.68995
14.84,15.831191
9.07,9.419769
13.25,15.465886
13.22,14.397914
14.46,14.329857
17.03,17.168701
13.8,15.074904
6.16,7.659382
10.19,10.412059
14.13,15.962269
28.0,26.637825
4.47,4.4921227
6.62,6.4734755
18.96,20.069126
20.11,19.47221
9.7,12.03205
20.4,20.541588
18.99,20.544859
4.55,4.50995
6.89,7.6574845
10.58,10.876081
10.54,11.142772
15.37,16.72359
9.35,9.209793
21.9,21.749466
14.2,13.935816
15.55,17.219307
7.6,8.54064
24.7,26.165627
26.6,25.310316
26.2,24.838617
10.1,10.438154
18.44,19.334011
17.14,16.612877
15.39,15.682038
17.32,17.107632
1.11,3.059587
16.22,15.906378
18.48,18.86383
10.73,10.625432
15.5,17.689758
22.8,22.56993
26.5,25.695517
11.53,12.734624
23.1,26.388615
21.3,20.027493
11.3,11.236175
23.4,25.605824
15.84,15.546169
9.6,17.782196
22.4,24.671736
29.7,28.646822
35.4,28.242163
11.87,11.590429
8.1,11.385396
14.7,14.860667
22.2,22.051008
16.3,16.870956
21.0,21.724134
18.85,20.393497
16.4,17.490889
7.26,8.0533695
8.56,9.036294
4.65,4.8089614
4.72,4.936659
6.92,7.2596483
10.4,11.306494
28.1,28.114998
19.8,20.215532
19.7,20.851152
6.0,5.807575
19.1,20.971277
1.4,1.855464
20.1,22.237873
20.1,20.68392
19.9,20.974766
19.8,19.764814
8.0,8.393281
15.49,15.850451
26.9,28.220125
22.8,24.343544
12.37,13.187408
23.3,25.988867
25.8,25.474314
11.2,11.912162
22.5,22.40666
28.7,27.934038
17.2,17.605915
21.8,20.966307
7.2,8.905666
19.21,20.959465
8.9,9.635241
11.2,12.363966
14.76,15.243032
9.53,9.753514
21.4,21.714231
19.0,20.193125
19.11,20.604319
7.27,7.901415
20.71,21.824095
5.96,6.0660715
21.2,22.537642
13.43,13.394336
16.94,17.98566
5.63,5.982629
7.82,8.528404
15.57,16.867123
20.7,21.298315
24.4,24.15064
22.4,23.155893
1.272,1.9720833
20.8,21.204855
19.17,18.959501
21.2,21.792578
22.8,24.458754
19.73,23.232162
10.37,12.16582
23.4,25.595526
12.68,14.64426
11.4,11.267599
29.3,27.567852
19.5,20.11408
7.2,7.8442254
6.8,6.5029488
20.0,19.521097
19.3,19.50989
19.35,18.934559
17.32,18.98764
5.0,5.307055
16.9,17.77604
16.0,16.810677
16.7,17.791458
5.1,5.32574
12.0,12.654408
19.2,18.540733
8.9,9.651363
10.7,11.006929
19.46,18.965094
9.5,9.990233
26.3,25.512304
15.6,15.6153755
18.8,18.66671
15.24,18.005352
20.1,24.3437
25.1,29.33162
19.37,18.754583
1.684,3.4612591
19.61,18.838318
14.5,14.797137
8.6,9.097703
9.4,9.473597
21.2,21.829908
29.8,27.439941
21.1,21.552143
13.01,14.114994
17.58,19.086405
10.25,9.832091
18.5,19.78427
19.73,21.03147
6.25,6.477956
17.83,19.898027
17.54,18.654129
17.8,19.106771
17.9,19.814589
6.63,6.9409237
18.1,18.288113
18.7,19.293919
18.7,20.230742
22.5,22.713821
12.5,12.984686
23.6,22.647932
1.313,5.0084124
20.4,21.044052
20.2,20.092402
21.0,21.036547
22.6,21.609226
21.7,21.431234
20.8,20.477875
20.1,19.892294
14.85,15.222433
21.3,21.736626
22.3,22.861622
15.52,14.933335
9.42,8.651961
20.73,21.164526
8.85,8.779784
5.39,5.4427795
28.2,28.775139
5.47,5.932605
5.07,5.0427117
15.09,14.467818
17.3,17.468239
11.45,10.564112
18.2,19.385645
18.95,18.748194
22.3,21.19441
17.47,18.331408
25.1,24.908083
13.25,13.247309
19.56,19.40476
18.56,18.931286
18.12,18.748243
15.12,15.550658
18.68,18.248978
18.35,17.270525
14.66,15.590392
7.04,7.5395865
13.51,15.740349
16.25,16.72864
14.58,15.158497
4.46,4.354637
8.63,8.662724
20.2,20.000362
14.82,14.270126
10.49,13.017725
14.01,14.862943
13.05,13.070292
20.8,20.527271
16.9,15.044622
10.2,10.756793
15.1,15.727209
15.12,15.73496
13.8,14.9753685
5.15,4.942758
4.63,4.164112
5.0,4.5271063
9.22,9.201497
14.05,14.471833
13.21,14.32049
11.79,12.079745
12.93,12.728673
12.78,12.911579
16.2,16.812767
13.5,12.6916895
13.2,12.392233
18.6,17.84521
10.46,11.696826
12.2,11.573744
16.67,16.505579
7.48,8.5547495
10.38,10.984691
11.81,12.874276
11.68,12.024573
1.401,2.4551868
10.6,11.730944
10.43,11.517449
10.66,11.841299
6.46,6.9438987
7.8,7.615093
10.49,10.82081
15.4,13.640833
16.2,15.048311
8.2,8.446619
10.1,9.195962
10.89,11.575473
11.6,12.328356
10.3,10.2858305
10.25,10.033211
10.08,10.760543
12.5,12.803548
11.55,12.311527
3.95,3.9436433
10.49,10.8419
4.25,3.7375247
13.57,14.032576
4.85,4.1571255
11.51,12.387279
10.68,10.402298
10.9,11.948821
9.1,10.275887
14.25,15.614935
9.56,10.269944
16.0,15.00475
6.25,7.066057
7.82,9.480367
15.0,14.252646
10.5,10.696418
17.4,17.463585
11.0,11.60214
17.3,17.259773
23.0,21.367254
4.01,4.288931
10.54,11.2827425
8.8,9.178238
3.98,3.6669226
4.12,3.776202
8.46,8.828829
8.63,8.883556
8.25,8.160786
9.39,9.689522
9.2,9.335846
8.32,8.149805
7.87,8.21781
8.96,9.480394
16.81,17.074448
15.53,16.836948
13.79,14.419104
7.19,8.29388
10.82,11.048715
19.87,20.001108
11.41,10.644783
10.43,10.388889
1.057,1.6365296
9.32,9.947947
9.23,9.617559
9.43,9.961479
8.9,9.024838
14.37,14.160067
15.8,14.157345
19.5,19.911463
17.7,16.455214
10.5,10.6909075
26.0,23.79499
16.7,14.0519495
8.86,9.460007
10.32,10.556346
9.1,9.976591
6.93,8.038992
13.78,15.097956
13.32,13.892982
6.0,6.8123856
10.17,10.950625
11.56,12.668086
6.2,6.32753
6.12,6.3875875
10.95,10.496331
5.88,6.3874702
14.84,15.864155
9.78,9.914108
8.93,9.328686
8.58,8.859241
12.8,12.681267
6.02,6.4624033
8.81,9.069714
15.76,16.636307
17.5,17.715942
13.42,15.03846
9.37,10.330801
12.58,13.458568
14.52,14.747645
11.12,11.476348
24.3,22.37232
10.2,11.071198
18.3,23.671438
8.06,7.913552
23.5,26.378254
5.0,14.360736
21.7,22.727057
19.8,20.473938
20.0,20.663525
11.21,10.683938
23.3,24.421072
18.44,18.867756
23.0,24.964937
12.5,12.036633
27.4,27.28475
12.5,13.264911
8.21,8.427334
12.2,12.542591
11.4,11.730954
6.33,6.9501467
9.72,10.353786
6.28,6.4559956
9.22,10.280107
4.2,4.1310353
7.54,8.060718
13.9,14.364252
6.27,6.6436286
5.78,6.1529555
5.31,5.665762
19.5,20.927519
6.65,6.9802694
15.4,16.43319
16.43,17.641233
16.2,17.465515
11.03,13.399638
13.97,15.451508
1.133,2.280702
9.28,10.421763
6.29,6.349613
12.21,13.551728
11.88,13.017728
24.0,24.128998
20.6,22.020754
9.7,9.535405
21.7,24.106924
9.8,13.592151
16.4,17.828253
20.0,21.004927
6.91,6.7998915
7.34,6.643174
16.87,16.975079
6.87,7.2971773
7.1,7.2256145
9.65,9.986513
9.37,9.028179
7.36,7.5490885
7.83,7.9971056
9.43,9.717606
18.0,18.534454
16.83,17.77723
19.47,21.348324
5.83,6.2221456
5.91,6.092037
5.81,5.870159
5.7,5.850345
26.4,26.30587
23.1,23.424843
6.0,12.286634
4.3,4.0352283
20.3,21.982882
11.8,18.02935
28.0,25.553535
11.04,11.560224
11.51,11.964236
18.39,18.237803
20.5,21.730116
24.6,25.71315
21.3,22.807905
13.17,15.506152
9.41,12.641887
8.38,13.066347
12.51,15.818664
15.76,16.332832
2.3,2.8432522
14.03,15.968324
12.19,14.557415
8.7,11.435734
10.6,12.0940695
12.01,13.698881
25.2,24.397774
38.0,21.811848
31.1,20.182678
13.4,13.744725
7.2,9.108927
26.0,26.266441
31.1,19.969645
23.8,25.025118
18.6,18.07648
18.69,19.656715
12.01,10.417055
20.2,19.611414
12.87,13.881929
13.08,13.727676
4.22,3.8257833
9.26,9.382832
9.34,8.824296
8.81,8.82165
6.82,7.7894945
8.63,8.940272
4.81,4.05258
20.9,20.493877
8.852,9.219923
28.5,27.247704
3.98,3.7819607
15.39,15.105616
15.56,15.074863
14.05,13.77662
14.58,14.056201
9.17,9.492155
0.991,2.3563504
14.6,15.5356655
14.8,14.669258
14.46,14.382693
12.22,11.903614
8.56,7.826953
22.0,23.62338
26.9,28.27743
10.96,11.101294
25.6,25.871305
23.3,23.700401
29.1,21.635944
22.5,21.282555
10.9,11.222496
15.3,14.803375
4.55,4.3567615
4.11,3.9106603
3.988,3.9649196
16.6,15.716244
6.98,7.63105
22.6,22.082706
19.17,19.813093
17.86,19.639395
16.15,16.721846
