Epoch [10/1112], Loss: 34.2999, R^2 Score: 0.1309
Epoch [20/1112], Loss: 31.2121, R^2 Score: -0.1573
Epoch [30/1112], Loss: 28.4801, R^2 Score: 0.1297
Epoch [40/1112], Loss: 26.6599, R^2 Score: 0.3740
Epoch [50/1112], Loss: 24.6010, R^2 Score: 0.3377
Epoch [60/1112], Loss: 23.6582, R^2 Score: 0.0729
Epoch [70/1112], Loss: 21.2326, R^2 Score: 0.5209
Epoch [80/1112], Loss: 20.0442, R^2 Score: 0.3187
Epoch [90/1112], Loss: 15.5558, R^2 Score: 0.7069
Epoch [100/1112], Loss: 15.9742, R^2 Score: 0.7541
Epoch [110/1112], Loss: 15.1344, R^2 Score: 0.7108
Epoch [120/1112], Loss: 14.7174, R^2 Score: 0.8130
Epoch [130/1112], Loss: 14.6317, R^2 Score: 0.6768
Epoch [140/1112], Loss: 13.6842, R^2 Score: 0.4719
Epoch [150/1112], Loss: 12.5260, R^2 Score: 0.6991
Epoch [160/1112], Loss: 11.6081, R^2 Score: 0.7274
Epoch [170/1112], Loss: 10.5531, R^2 Score: 0.8161
Epoch [180/1112], Loss: 11.4842, R^2 Score: 0.7836
Epoch [190/1112], Loss: 10.5843, R^2 Score: 0.6981
Epoch [200/1112], Loss: 9.9766, R^2 Score: 0.7414
Epoch [210/1112], Loss: 10.0450, R^2 Score: 0.6872
Epoch [220/1112], Loss: 8.2840, R^2 Score: 0.8240
Epoch [230/1112], Loss: 10.2344, R^2 Score: 0.7684
Epoch [240/1112], Loss: 9.4124, R^2 Score: 0.6099
Epoch [250/1112], Loss: 9.1497, R^2 Score: 0.5718
Epoch [260/1112], Loss: 8.5692, R^2 Score: 0.6716
Epoch [270/1112], Loss: 9.0540, R^2 Score: 0.8415
Epoch [280/1112], Loss: 7.9389, R^2 Score: 0.6341
Epoch [290/1112], Loss: 6.7404, R^2 Score: 0.7868
Epoch [300/1112], Loss: 7.1020, R^2 Score: 0.8816
Epoch [310/1112], Loss: 7.4556, R^2 Score: 0.8522
Epoch [320/1112], Loss: 8.2314, R^2 Score: 0.7367
Epoch [330/1112], Loss: 6.6931, R^2 Score: 0.7511
Epoch [340/1112], Loss: 7.8980, R^2 Score: 0.5633
Epoch [350/1112], Loss: 6.6351, R^2 Score: 0.8802
Epoch [360/1112], Loss: 6.1157, R^2 Score: 0.8472
Epoch [370/1112], Loss: 6.5250, R^2 Score: 0.7528
Epoch [380/1112], Loss: 6.0915, R^2 Score: 0.8863
Epoch [390/1112], Loss: 5.7366, R^2 Score: 0.7701
Epoch [400/1112], Loss: 6.0708, R^2 Score: 0.8319
Epoch [410/1112], Loss: 6.5347, R^2 Score: 0.6008
Epoch [420/1112], Loss: 6.5934, R^2 Score: 0.9071
Epoch [430/1112], Loss: 5.0386, R^2 Score: 0.6841
Epoch [440/1112], Loss: 5.4147, R^2 Score: 0.9098
Epoch [450/1112], Loss: 4.8336, R^2 Score: 0.8525
Epoch [460/1112], Loss: 5.4414, R^2 Score: 0.9171
Epoch [470/1112], Loss: 5.4149, R^2 Score: 0.6839
Epoch [480/1112], Loss: 5.0710, R^2 Score: 0.8207
Epoch [490/1112], Loss: 5.5602, R^2 Score: 0.8423
Epoch [500/1112], Loss: 4.9148, R^2 Score: 0.7919
Epoch [510/1112], Loss: 4.8289, R^2 Score: 0.8272
Epoch [520/1112], Loss: 4.2763, R^2 Score: 0.8973
Epoch [530/1112], Loss: 4.4265, R^2 Score: 0.9035
Epoch [540/1112], Loss: 4.4829, R^2 Score: 0.9001
Epoch [550/1112], Loss: 4.6310, R^2 Score: 0.9006
Epoch [560/1112], Loss: 4.3391, R^2 Score: 0.8734
Epoch [570/1112], Loss: 4.9292, R^2 Score: 0.9010
Epoch [580/1112], Loss: 4.7865, R^2 Score: 0.8869
Epoch [590/1112], Loss: 4.9723, R^2 Score: 0.7396
Epoch [600/1112], Loss: 4.2607, R^2 Score: 0.8702
Epoch [610/1112], Loss: 4.5814, R^2 Score: 0.8347
Epoch [620/1112], Loss: 4.5768, R^2 Score: 0.7607
Epoch [630/1112], Loss: 3.8920, R^2 Score: 0.8750
Epoch [640/1112], Loss: 5.4825, R^2 Score: 0.9272
Epoch [650/1112], Loss: 4.1641, R^2 Score: 0.9211
Epoch [660/1112], Loss: 4.2796, R^2 Score: 0.8548
Epoch [670/1112], Loss: 4.6175, R^2 Score: 0.8752
Epoch [680/1112], Loss: 4.4621, R^2 Score: 0.9324
Epoch [690/1112], Loss: 3.8325, R^2 Score: 0.8618
Epoch [700/1112], Loss: 4.0260, R^2 Score: 0.8231
Epoch [710/1112], Loss: 4.6340, R^2 Score: 0.8408
Epoch [720/1112], Loss: 4.5890, R^2 Score: 0.9261
Epoch [730/1112], Loss: 4.0350, R^2 Score: 0.8966
Epoch [740/1112], Loss: 3.6204, R^2 Score: 0.8937
Epoch [750/1112], Loss: 3.9842, R^2 Score: 0.8865
Epoch [760/1112], Loss: 4.7572, R^2 Score: 0.9037
Epoch [770/1112], Loss: 3.9378, R^2 Score: 0.9024
Epoch [780/1112], Loss: 3.7902, R^2 Score: 0.8993
Epoch [790/1112], Loss: 3.6145, R^2 Score: 0.8764
Epoch [800/1112], Loss: 3.7829, R^2 Score: 0.9020
Epoch [810/1112], Loss: 3.5505, R^2 Score: 0.8974
Epoch [820/1112], Loss: 3.7223, R^2 Score: 0.8321
Epoch [830/1112], Loss: 3.7522, R^2 Score: 0.9077
Epoch [840/1112], Loss: 4.8076, R^2 Score: 0.9455
Epoch [850/1112], Loss: 3.7197, R^2 Score: 0.9181
Epoch [860/1112], Loss: 3.8680, R^2 Score: 0.9211
Epoch [870/1112], Loss: 3.5392, R^2 Score: 0.8823
Epoch [880/1112], Loss: 3.2654, R^2 Score: 0.9331
Epoch [890/1112], Loss: 4.3990, R^2 Score: 0.8899
Epoch [900/1112], Loss: 3.4038, R^2 Score: 0.9458
Epoch [910/1112], Loss: 3.9288, R^2 Score: 0.9323
Epoch [920/1112], Loss: 3.5980, R^2 Score: 0.9421
Epoch [930/1112], Loss: 3.9714, R^2 Score: 0.7873
Epoch [940/1112], Loss: 3.6221, R^2 Score: 0.8127
Epoch [950/1112], Loss: 4.3526, R^2 Score: 0.7600
Epoch [960/1112], Loss: 3.8774, R^2 Score: 0.9060
Epoch [970/1112], Loss: 3.3168, R^2 Score: 0.9216
Epoch [980/1112], Loss: 3.2634, R^2 Score: 0.9313
Epoch [990/1112], Loss: 3.5419, R^2 Score: 0.9479
Epoch [1000/1112], Loss: 2.9796, R^2 Score: 0.9101
Epoch [1010/1112], Loss: 3.1133, R^2 Score: 0.8961
Epoch [1020/1112], Loss: 3.1219, R^2 Score: 0.9037
Epoch [1030/1112], Loss: 3.2208, R^2 Score: 0.9302
Epoch [1040/1112], Loss: 3.8285, R^2 Score: 0.9296
Epoch [1050/1112], Loss: 3.7497, R^2 Score: 0.8662
Epoch [1060/1112], Loss: 3.8336, R^2 Score: 0.9090
Epoch [1070/1112], Loss: 3.1809, R^2 Score: 0.9067
Epoch [1080/1112], Loss: 3.5492, R^2 Score: 0.9146
Epoch [1090/1112], Loss: 3.6235, R^2 Score: 0.9372
Epoch [1100/1112], Loss: 3.1457, R^2 Score: 0.9249
Epoch [1110/1112], Loss: 3.7316, R^2 Score: 0.9366
Training complete
R^2 score: 0.8834
