Actual,Predicted
18.1,17.818686
23.8,19.598951
20.9,18.873106
21.13,21.123135
24.1,24.202652
13.1,13.969479
17.0,18.694616
22.4,17.897259
22.7,21.856787
19.13,18.420645
26.5,26.385695
22.66,22.93529
22.2,20.530106
19.23,19.23105
6.9,8.123304
4.01,4.308977
5.847,6.4702897
5.0,5.037011
8.5,8.322872
4.5,4.5052257
4.95,4.903234
6.12,5.262088
3.95,4.6597137
4.29,4.4729714
3.98,4.728449
3.84,3.661015
9.918,9.975342
4.16,4.016411
17.7,15.806957
19.0,17.44461
11.7,12.108274
11.6,11.335217
14.2,14.380146
29.8,27.008389
11.3,11.450513
22.7,22.133644
10.22,10.666931
21.4,22.311543
16.7,17.493364
7.14,8.493788
8.93,8.832762
10.1,10.164314
10.22,11.503904
11.35,10.664864
9.6,9.421833
9.46,9.207201
8.2,8.157217
13.85,12.307369
13.84,13.127113
11.3,10.280415
9.21,8.802971
8.3,8.367523
10.63,9.940956
15.43,14.454515
12.85,12.497808
18.21,17.233068
8.47,8.829561
11.3,12.080038
9.53,10.970797
11.4,10.308992
11.23,10.524273
7.6,8.345533
10.446,10.361115
10.57,10.30526
10.92,10.567238
9.08,9.460407
10.25,9.013644
7.96,8.585501
10.34,9.43514
10.55,9.993671
8.43,9.078272
8.22,8.308998
8.7,8.285186
9.29,8.729351
9.58,9.8498535
10.4,9.653696
20.381,18.670576
12.59,13.247675
17.98,18.201805
13.24,12.33475
20.2,17.353212
19.17,18.778505
14.6,14.303716
13.25,14.01058
17.902,18.382284
17.87,17.928856
18.44,15.383689
12.49,14.334255
19.85,18.714436
19.65,18.847097
17.98,18.795866
16.44,13.736925
21.2,19.908136
6.977,8.020819
18.3,17.768349
14.1,14.921794
18.8,17.194542
16.9,16.082087
18.197,17.735678
18.5,18.193163
17.5,17.515959
8.54,9.784349
20.5,17.233355
7.1,7.4750113
3.73,4.2703414
4.9,6.2302566
6.26,5.9749427
5.84,5.788128
3.71,4.219229
5.13,6.075288
6.98,7.0787735
5.5,6.0779977
4.01,5.6285458
5.47,7.1098175
5.94,5.6706285
4.4,4.526062
6.95,8.219666
6.75,6.768183
4.8,5.1553
22.7,22.504173
21.6,24.222435
22.9,24.051683
8.9,11.831753
16.94,19.910027
11.6,14.868065
8.4,9.15741
7.36,9.204563
9.64,9.157276
14.361,15.001355
10.6,9.87494
9.1,10.4242525
9.13,8.623331
17.6,16.845488
8.2,8.785085
16.32,14.778076
7.5,7.5112543
8.92,9.100012
7.5,7.361268
8.7,9.212725
8.9,9.054205
10.07,10.067469
11.8,11.752451
12.9,7.9986196
13.28,13.797689
17.8,18.332064
13.21,14.302087
8.71,9.075391
8.81,9.033537
8.9,8.334204
21.3,20.69026
25.2,26.074305
24.6,25.355345
22.6,23.168707
21.8,21.153124
13.51,16.32892
13.5,15.82094
11.735,13.054644
10.88,11.221421
5.63,6.055136
10.0,9.899321
12.09,11.132069
8.0,8.591638
13.37,13.321644
14.84,15.476538
17.26,15.589388
6.11,6.033415
7.35,8.285401
15.99,14.771854
7.15,8.072005
9.08,8.977237
10.16,9.227358
13.67,13.481824
20.9,21.96609
11.57,12.0593195
12.285,13.97699
19.675,17.070742
18.705,20.737902
16.57,17.720152
12.5,11.898407
5.86,6.3772674
21.6,20.498716
20.8,21.711725
18.78,18.388693
17.09,16.33566
17.25,15.91799
18.63,18.95471
10.07,9.342545
18.2,19.836576
16.1,15.997257
19.66,18.519499
13.6,13.3654
14.86,13.541359
18.61,19.76817
16.3,15.532484
20.0,15.41091
12.62,11.984238
15.81,15.636579
11.5,11.342941
18.6,18.72711
19.3,18.65786
16.3,16.33517
20.88,21.593813
20.9,19.41448
12.65,13.381838
16.83,17.006327
21.4,21.455313
11.09,10.568155
15.5,14.926432
14.2,17.042273
12.7,13.287901
10.8,10.502302
17.7,17.821566
13.3,13.700359
7.8,8.541597
20.8,20.835932
11.0,12.948851
11.6,11.283222
20.9,18.415281
13.1,13.4050865
12.1,12.881432
11.85,12.866441
17.7,16.624815
15.9,16.800161
13.4,14.336915
8.73,9.631083
7.41,7.2090116
13.49,12.590004
7.05,7.425582
9.2,9.077799
6.1,6.6079884
8.11,8.363497
9.6,8.219246
9.4,9.599044
9.9,10.508682
9.3,9.33544
9.31,9.108973
10.4,9.289994
5.2,5.2252727
9.38,8.886139
9.06,7.963363
9.45,9.60507
6.1,6.9339213
13.254,13.360816
6.65,7.3787246
15.03,13.986031
8.39,8.627246
8.76,8.840439
21.2,19.155293
10.02,10.13244
15.32,13.67749
8.998,8.753373
11.71,11.72992
12.22,11.361695
16.6,14.878607
9.95,8.754849
11.5,11.196124
14.7,15.51969
16.71,15.0964985
14.84,15.082896
14.36,14.419651
20.2,18.534817
16.88,15.648088
16.4,14.736599
23.31,22.362207
19.2,17.395823
22.58,20.389517
18.553,17.830828
15.68,17.748232
19.78,18.369783
19.5,21.177692
20.8,21.52283
21.9,20.382757
24.66,23.369633
24.06,25.223524
24.6,26.008781
21.4,22.87494
24.61,24.81688
24.6,26.504116
18.17,20.75062
21.6,20.412523
21.73,23.808594
14.3,15.255431
29.1,26.156351
7.5,7.084844
6.4,8.198122
