Actual,Predicted
9.11,8.67355
7.08,6.854266
11.74,11.050204
11.54,11.58647
16.71,16.149796
18.78,18.383709
8.45,8.696943
11.0,11.960552
27.3,27.913452
22.9,23.539043
21.4,22.069838
14.84,16.451593
9.07,9.507553
13.25,15.632529
13.22,14.444858
14.46,14.319312
17.03,17.255848
13.8,15.101409
6.16,7.7612553
10.19,10.5964775
14.13,16.185534
28.0,26.121965
4.47,4.3318453
6.62,6.355362
18.96,19.90317
20.11,18.800367
9.7,11.788584
20.4,20.04072
18.99,19.98792
4.55,4.2320843
6.89,7.380683
10.58,10.386869
10.54,10.578146
15.37,16.37448
9.35,8.8081255
21.9,21.767376
14.2,13.894134
15.55,16.821257
7.6,8.417122
24.7,25.80211
26.6,25.178051
26.2,24.570429
10.1,10.534405
18.44,19.06096
17.14,16.481947
15.39,15.446414
17.32,16.868631
1.11,2.994258
16.22,16.094362
18.48,18.664606
10.73,10.511234
15.5,17.441408
22.8,22.456495
26.5,25.38035
11.53,12.25892
23.1,25.799555
21.3,20.133272
11.3,11.158224
23.4,25.092978
15.84,15.669632
9.6,17.896175
22.4,24.121435
29.7,28.198338
35.4,27.860481
11.87,11.822038
8.1,11.487145
14.7,14.719621
22.2,21.830744
16.3,16.072626
21.0,21.052532
18.85,19.858746
16.4,16.740837
7.26,7.708987
8.56,8.661859
4.65,4.5526524
4.72,4.859353
6.92,7.1020756
10.4,11.569895
28.1,27.969912
19.8,20.18163
19.7,20.93203
6.0,5.796357
19.1,20.54635
1.4,1.6885889
20.1,21.80795
20.1,20.50662
19.9,20.814718
19.8,19.710375
8.0,8.576628
15.49,15.607497
26.9,27.501858
22.8,24.110155
12.37,12.974294
23.3,25.220482
25.8,25.065212
11.2,11.751364
22.5,22.177267
28.7,27.74263
17.2,17.392517
21.8,20.976976
7.2,8.822913
19.21,20.683748
8.9,8.861599
11.2,11.730285
14.76,14.478242
9.53,9.145842
21.4,21.2678
19.0,19.75611
19.11,20.182335
7.27,7.676173
20.71,21.419468
5.96,5.914346
21.2,22.065365
13.43,12.511051
16.94,17.255863
5.63,5.652813
7.82,8.2627325
15.57,16.249592
20.7,20.982471
24.4,24.4151
22.4,23.683887
1.272,1.8530319
20.8,20.946028
19.17,18.836817
21.2,21.554697
22.8,24.186584
19.73,23.022581
10.37,12.084718
23.4,25.286705
12.68,14.0347595
11.4,11.125312
29.3,26.870453
19.5,19.307468
7.2,7.370187
6.8,6.2646656
20.0,19.283873
19.3,19.07665
19.35,18.526337
17.32,18.554392
5.0,4.925213
16.9,17.13584
16.0,16.503965
16.7,17.021818
5.1,4.8465357
12.0,12.438907
19.2,17.771166
8.9,9.106682
10.7,10.8358965
19.46,18.440191
9.5,9.493359
26.3,24.68256
15.6,15.248984
18.8,18.399382
15.24,17.581467
20.1,24.04381
25.1,29.508806
19.37,18.540047
1.684,3.3894672
19.61,18.798576
14.5,14.70645
8.6,8.761044
9.4,9.097757
21.2,21.584587
29.8,27.269659
21.1,21.849627
13.01,13.720287
17.58,18.560795
10.25,9.138758
18.5,19.144512
19.73,20.540585
6.25,6.263751
17.83,19.453371
17.54,18.19755
17.8,18.506805
17.9,19.192556
6.63,6.509445
18.1,17.461433
18.7,18.53447
18.7,20.28387
22.5,22.582865
12.5,13.416937
23.6,22.623627
1.313,4.9809265
20.4,20.641361
20.2,19.961891
21.0,20.590532
22.6,21.32934
