MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg/L,COND_mS/m,Ca_meq/L,Mg_meq/L,Na_meq/L,K_meq/L,ALK_meq/L,Cl_meq/L,SO4_meq/L,NO32_mg/L,NH4N_mg/L,TOTP_mg/L,DO_mg/L,CODMN_mg/L
Cambodia,H019801,1993-10-20,1993,10,20,29.2,7.66,78.0,15.2,0.834,0.313,0.19,0.039,1.08,0.124,0.157,0.392,0.122,0.023,5.98,1.8
Cambodia,H019801,1993-11-16,1993,11,16,29.0,7.27,30.0,11.3,0.581,0.229,0.148,0.037,0.844,0.082,0.087,0.044,0.016,0.004,4.3,4.0
Cambodia,H019801,1993-12-16,1993,12,16,27.7,7.69,16.0,12.6,0.688,0.269,0.177,0.039,0.934,0.086,0.136,0.16,0.099,0.006,5.29,2.6
Cambodia,H019802,1993-11-17,1993,11,17,28.8,8.05,84.0,18.2,0.936,0.406,0.225,0.038,1.287,0.095,0.263,0.195,0.046,0.015,7.24,2.1
Cambodia,H019802,1993-12-15,1993,12,15,27.5,7.97,36.0,16.3,0.887,0.353,0.227,0.036,1.187,0.096,0.206,0.14,0.009,0.009,5.69,0.5
Cambodia,H019806,1993-11-15,1993,11,15,29.3,7.55,44.0,15.2,0.667,0.454,0.18,0.038,1.079,0.076,0.192,0.135,0.038,0.007,5.82,2.6
Cambodia,H019806,1993-12-16,1993,12,16,27.5,7.71,18.0,13.9,0.972,0.105,0.197,0.039,1.028,0.099,0.146,0.107,0.009,0.008,6.79,1.7
Cambodia,H020102,1993-11-16,1993,11,16,29.0,7.17,6.0,10.7,0.561,0.203,0.128,0.036,0.773,0.071,0.088,0.03,0.115,0.004,3.96,3.6
Cambodia,H020102,1993-12-15,1993,12,15,27.8,7.52,18.0,10.3,0.564,0.198,0.15,0.039,0.787,0.083,0.075,0.05,0.028,0.063,7.67,3.1
Cambodia,H033402,1993-10-19,1993,10,19,29.0,7.21,112.0,12.4,0.7,0.291,0.148,0.04,0.99,0.09,0.085,0.152,0.112,0.01,3.16,2.3
Cambodia,H033402,1993-12-16,1993,12,16,27.5,7.52,6.0,10.6,0.569,0.22,0.157,0.038,0.792,0.08,0.085,0.059,0.009,0.003,5.5,3.1
Cambodia,H019801,1994-01-19,1994,1,19,28.1,7.97,5.0,17.8,1.07,0.43,0.28,0.035,1.4,0.11,0.28,0.09,0.017,0.011,7.59,2.4
Cambodia,H019801,1994-02-16,1994,2,16,30.0,7.68,7.0,11.6,0.541,0.331,0.235,0.038,0.895,0.08,0.206,0.264,0.029,0.02,5.03,3.2
Cambodia,H019801,1994-03-17,1994,3,17,30.0,8.12,1.0,20.3,1.162,0.506,0.349,0.038,1.551,0.02,0.456,0.021,0.11,0.009,7.13,0.8
Cambodia,H019801,1994-04-21,1994,4,21,31.4,8.13,3.0,25.0,1.207,0.454,0.41,0.046,1.502,0.232,0.241,0.123,0.045,0.009,7.09,1.0
Cambodia,H019801,1994-08-17,1994,8,17,28.4,7.89,142.0,10.9,0.731,0.192,0.129,0.048,0.91,0.057,0.049,0.226,0.039,0.044,6.51,3.3
Cambodia,H019801,1994-09-18,1994,9,18,28.0,7.66,140.0,8.9,0.53,0.186,0.111,0.039,0.727,0.042,0.055,0.174,0.051,0.068,6.56,7.5
Cambodia,H019801,1994-10-15,1994,10,15,28.4,7.79,114.0,11.5,0.687,0.212,0.218,0.059,0.912,0.039,0.12,0.163,0.01,0.069,6.79,3.7
Cambodia,H019801,1994-11-21,1994,11,21,27.8,8.08,34.0,14.4,0.89,0.245,0.25,0.043,1.166,0.057,0.117,0.201,0.002,0.061,7.23,3.8
Cambodia,H019801,1994-12-19,1994,12,19,28.8,8.29,3.0,15.7,0.877,0.361,0.248,0.027,1.264,0.112,0.085,0.111,0.005,0.062,7.56,1.1
Cambodia,H019802,1994-01-18,1994,1,18,28.0,8.1,7.0,18.2,1.09,0.44,0.27,0.042,1.42,0.11,0.3,0.075,0.014,0.01,7.65,1.1
Cambodia,H019802,1994-02-17,1994,2,17,29.6,8.52,2.0,19.0,1.146,0.478,0.335,0.035,1.517,0.05,0.415,0.024,0.001,0.009,7.47,0.7
Cambodia,H019802,1994-03-15,1994,3,15,30.6,7.92,4.0,20.2,1.125,0.461,0.36,0.038,1.5,0.03,0.537,0.015,0.11,0.034,7.2,1.0
Cambodia,H019802,1994-10-17,1994,10,17,28.6,7.82,194.0,11.8,0.698,0.209,0.113,0.057,0.883,0.049,0.114,0.176,0.05,0.029,6.9,6.5
Cambodia,H019802,1994-11-21,1994,11,21,28.0,8.11,4.0,14.2,0.855,0.242,0.242,0.042,1.155,0.095,0.069,0.178,0.046,0.04,7.23,2.3
Cambodia,H019802,1994-12-20,1994,12,20,27.4,8.26,3.0,15.4,0.775,0.468,0.25,0.029,1.285,0.116,0.078,0.114,0.002,0.053,7.55,2.3
Cambodia,H019806,1994-01-17,1994,1,17,28.8,7.98,4.0,13.5,0.8,0.33,0.22,0.04,1.09,0.12,0.17,0.135,0.017,0.01,6.45,2.2
Cambodia,H019806,1994-02-16,1994,2,16,29.0,8.17,2.0,15.9,0.898,0.409,0.285,0.036,1.254,0.07,0.319,0.129,0.053,0.014,6.43,1.8
Cambodia,H019806,1994-03-16,1994,3,16,30.0,7.92,1.0,17.6,1.026,0.409,0.335,0.037,1.356,0.04,0.404,0.032,0.14,0.07,7.52,6.1
Cambodia,H019806,1994-04-22,1994,4,22,31.8,7.72,2.0,12.8,1.078,0.428,0.375,0.045,1.394,0.217,0.218,0.149,0.05,0.015,7.21,2.1
Cambodia,H019806,1994-06-16,1994,6,16,30.3,7.73,142.0,19.1,0.844,0.38,0.41,0.038,1.072,0.306,0.226,0.377,0.143,0.044,6.6,3.7
Cambodia,H019806,1994-07-15,1994,7,15,27.8,7.84,200.0,11.2,0.639,0.235,0.183,0.053,0.852,0.109,0.059,0.245,0.045,0.074,6.47,8.4
Cambodia,H019806,1994-08-15,1994,8,15,30.0,7.91,216.0,10.3,0.679,0.2,0.127,0.066,0.865,0.057,0.048,0.212,0.043,0.034,6.43,3.9
Cambodia,H019806,1994-09-16,1994,9,16,28.2,7.18,160.0,12.4,0.686,0.252,0.27,0.04,0.997,0.075,0.197,0.22,0.05,0.02,7.07,1.4
Cambodia,H019806,1994-09-20,1994,9,20,28.3,7.73,148.0,9.5,0.563,0.2,0.127,0.038,0.762,0.048,0.062,0.208,0.023,0.053,6.6,4.3
Cambodia,H019806,1994-10-14,1994,10,14,30.2,7.78,186.0,11.2,0.519,0.37,0.208,0.052,0.895,0.034,0.111,0.181,0.036,0.033,6.21,7.6
Cambodia,H019806,1994-10-19,1994,10,19,29.0,7.41,17.0,11.3,0.744,0.288,0.2,0.04,0.914,0.084,0.174,0.15,0.07,0.03,6.69,2.8
Cambodia,H019806,1994-11-15,1994,11,15,29.0,7.38,4.1,12.4,0.803,0.33,0.21,0.03,1.023,0.096,0.16,0.19,0.01,0.01,6.27,2.6
Cambodia,H019806,1994-11-21,1994,11,21,28.5,7.64,4.0,11.5,0.614,0.178,0.195,0.044,0.946,0.073,0.062,0.186,0.009,0.024,6.41,2.7
Cambodia,H019806,1994-12-16,1994,12,16,29.6,7.47,7.0,14.2,0.83,0.498,0.23,0.03,1.176,0.134,0.172,0.1,0.05,0.01,6.38,2.8
Cambodia,H019806,1994-12-20,1994,12,20,28.8,7.82,22.0,12.2,0.64,0.337,0.202,0.03,1.001,0.104,0.055,0.089,0.008,0.025,6.44,2.7
Cambodia,H020102,1994-01-18,1994,1,18,28.5,7.27,4.0,8.7,0.58,0.21,0.15,0.041,0.87,0.07,0.08,0.05,0.014,0.013,4.33,3.4
Cambodia,H020102,1994-02-17,1994,2,17,29.8,7.02,4.0,6.6,0.29,0.162,0.175,0.037,0.491,0.05,0.125,0.221,0.026,0.034,3.85,4.3
Cambodia,H020102,1994-06-17,1994,6,17,30.2,7.77,106.0,18.0,0.78,0.201,0.28,0.032,0.981,0.291,0.1,0.39,0.081,0.042,6.4,3.2
Cambodia,H020102,1994-07-14,1994,7,14,27.8,7.79,32.0,11.4,0.637,0.255,0.2,0.053,0.846,0.117,0.074,0.266,0.122,0.029,6.3,8.1
Cambodia,H020102,1994-08-16,1994,8,16,28.4,7.53,34.0,10.9,0.684,0.21,0.139,0.05,0.904,0.069,0.043,0.202,0.058,0.018,5.19,3.4
Cambodia,H020102,1994-09-21,1994,9,21,29.4,7.49,13.0,10.7,0.667,0.23,0.127,0.039,0.905,0.026,0.077,0.045,0.08,0.021,5.22,4.1
Cambodia,H020102,1994-10-17,1994,10,17,31.0,7.22,4.0,9.8,0.628,0.2,0.138,0.053,0.853,0.024,0.058,0.042,0.059,0.009,2.84,3.5
Cambodia,H020102,1994-11-21,1994,11,21,29.2,7.42,2.0,9.3,0.471,0.197,0.155,0.046,0.779,0.068,0.029,0.031,0.057,0.012,5.15,3.7
Cambodia,H020102,1994-12-20,1994,12,20,28.8,7.36,10.0,9.0,0.35,0.329,0.147,0.034,0.75,0.08,0.021,0.286,0.003,0.018,4.97,4.2
Cambodia,H033402,1994-01-17,1994,1,17,29.0,7.27,4.0,9.1,0.49,0.25,0.17,0.043,0.74,0.092,0.191,0.185,0.014,0.01,5.28,4.0
Cambodia,H033402,1994-02-15,1994,2,15,29.2,8.02,3.0,8.4,0.385,0.226,0.195,0.044,0.637,0.08,0.099,0.265,0.045,0.026,7.17,4.1
Cambodia,H033402,1994-04-22,1994,4,22,31.0,7.37,8.0,23.2,1.315,0.25,0.325,0.061,0.68,0.099,0.282,0.622,0.081,0.028,6.15,5.0
Cambodia,H033402,1994-09-20,1994,9,20,28.2,7.66,168.0,9.4,0.579,0.191,0.122,0.034,0.796,0.041,0.064,0.204,0.032,0.061,6.33,5.8
Cambodia,H033402,1994-10-14,1994,10,14,31.0,7.33,124.0,10.1,0.635,0.199,0.157,0.044,0.887,0.045,0.047,0.115,0.055,0.014,3.05,5.0
Cambodia,H033402,1994-11-21,1994,11,21,28.0,7.5,3.0,9.6,0.535,0.175,0.165,0.046,0.813,0.07,0.03,0.075,0.003,0.013,5.57,8.6
Cambodia,H033402,1994-12-19,1994,12,19,29.0,7.5,2.0,9.3,0.433,0.297,0.153,0.035,0.79,0.08,0.023,0.045,0.008,0.015,5.43,3.5
Cambodia,H014901,1995-09-14,1995,9,14,29.8,7.67,140.0,9.0,0.581,0.163,0.14,0.03,0.767,0.049,0.069,0.138,0.02,0.03,6.31,1.3
